field_id,contract_section,field_name,contract_value_or_status,evidence_status_from_design,evidence_path,human_review_decision,evidence_confidence,blocking_reason_if_any,nonblocking_note_if_any,required_action,execution_01A_impact
FL-001,C0_contract_metadata,contract_id,QSB-PBR-K-CANDIDATE-MATRIX-CONSTRUCTION-CONTRACT-DRAFT-01,requires_human_review,data/contract_metadata.csv,accepted_with_note,medium,none,"Draft ID acceptable for review; final ID may change after patch.",carry_to_patch_design,nonblocking
FL-002,C0_contract_metadata,claim_boundary,no physics or mechanism claim,documented_existing_evidence,data/contract_metadata.csv,accepted,high,none,none,preserve,required_pass
FL-003,C1_source_and_lineage,source_code_artifact_path,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,documented_existing_evidence,data/source_lineage_contract.csv,accepted,high,none,none,preserve,required_pass
FL-004,C1_source_and_lineage,source_code_artifact_sha256,283aa9295d76c1243398550e0da4447072628989c21f3d987c4b5e8ca1649c06,documented_existing_evidence,data/source_lineage_contract.csv,accepted,high,none,none,preserve,required_pass
FL-005,C1_source_and_lineage,K_candidate_export_path,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/11_K_candidate_matrix.csv,documented_existing_evidence,data/source_lineage_contract.csv,accepted,high,none,none,preserve,required_pass
FL-006,C1_source_and_lineage,K_candidate_export_sha256,e1acdf0acf31e2faf68f8a517cbdbccb2f9af9e28fe974eeb01c0a7f0928754d,documented_existing_evidence,data/source_lineage_contract.csv,accepted,high,none,none,preserve,required_pass
FL-007,C2_input_tables_and_identity,input_pair_table_path,runs/QSB-EXTRACT03-S1/split_seed_freeze_addendum/06_canonical_pair_basis_review.csv,partial_evidence_requires_review,data/input_identity_contract.csv,accepted_with_note,medium,none,"Accepted only as interim evidence; source patch should pin direct input table/source relation.",export_or_pin_direct_input_identity,nonblocking_until_01A
FL-008,C2_input_tables_and_identity,pair_identifier_columns,canonical_pair_id,documented_existing_evidence,data/input_identity_contract.csv,accepted,high,none,none,preserve,required_pass
FL-009,C2_input_tables_and_identity,endpoint_columns,pair_i;pair_j,documented_existing_evidence,data/input_identity_contract.csv,accepted,high,none,none,preserve,required_pass
FL-010,C2_input_tables_and_identity,duplicate_row_policy,missing_not_documented,missing_not_documented,data/input_identity_contract.csv,requires_source_patch,none,"Duplicate row policy is essential and undocumented.",none,define_policy_in_source_patch,blocks_01A
FL-011,C2_input_tables_and_identity,missing_row_policy,missing_not_documented,missing_not_documented,data/input_identity_contract.csv,requires_source_patch,none,"Missing row policy is essential and undocumented.",none,define_policy_in_source_patch,blocks_01A
FL-012,C3_pair_and_diagonal_policy,pair_policy,ordered non-diagonal pairs sorted numeric ascending pair_i then pair_j,documented_existing_evidence,data/pair_diagonal_policy_contract.csv,accepted,high,none,none,preserve,required_pass
FL-013,C3_pair_and_diagonal_policy,pair_symmetry_policy,K symmetrized after dot product,derived_from_existing_code_trace,data/pair_diagonal_policy_contract.csv,accepted_with_note,medium,none,"Code-trace behavior accepted for review but should be restated in final callable docs.",document_in_patch_contract,required_pass_after_patch
FL-014,C3_pair_and_diagonal_policy,diagonal_policy,K diagonal filled with 1.0,derived_from_existing_code_trace,data/pair_diagonal_policy_contract.csv,accepted_with_note,medium,none,"Code-trace behavior accepted for review but should be restated in final callable docs.",document_in_patch_contract,required_pass_after_patch
FL-015,C3_pair_and_diagonal_policy,zero_diagonal_policy,not_applicable,not_applicable,data/pair_diagonal_policy_contract.csv,not_applicable,high,none,"K diagonal is 1.0; zero diagonal applies outside K contract.",none,not_applicable
FL-016,C3_pair_and_diagonal_policy,duplicate_pair_policy,missing_not_documented,missing_not_documented,data/pair_diagonal_policy_contract.csv,requires_source_patch,none,"Duplicate pair policy is essential and undocumented.",none,define_policy_in_source_patch,blocks_01A
FL-017,C3_pair_and_diagonal_policy,missing_pair_policy,missing_not_documented,missing_not_documented,data/pair_diagonal_policy_contract.csv,requires_source_patch,none,"Missing pair policy is essential and undocumented.",none,define_policy_in_source_patch,blocks_01A
FL-018,C4_lag_policy,lag_class_column,missing_not_documented,missing_not_documented,data/lag_policy_contract.csv,requires_source_patch,none,"Lag class column is essential for Execution 01A.",none,define_lag_handoff,blocks_01A
FL-019,C4_lag_policy,lag_class_definition,missing_not_documented,missing_not_documented,data/lag_policy_contract.csv,requires_source_patch,none,"Lag class definition is essential for Execution 01A.",none,define_lag_handoff,blocks_01A
FL-020,C4_lag_policy,lag_sort_order,missing_not_documented,missing_not_documented,data/lag_policy_contract.csv,requires_source_patch,none,"Lag sort order is essential for controls and joins.",none,define_lag_handoff,blocks_01A
FL-021,C4_lag_policy,lag_preserving_shuffle_definition,missing_not_documented,missing_not_documented,data/lag_policy_contract.csv,requires_source_patch,none,"Lag-preserving shuffle is essential for controls.",none,define_control_handoff,blocks_01A
FL-022,C4_lag_policy,lag_alias_exclusion_rule,missing_not_documented,missing_not_documented,data/lag_policy_contract.csv,requires_source_patch,none,"Alias exclusion is needed to prevent leakage.",none,define_alias_exclusion,blocks_01A
FL-023,C5_matrix_construction_rule,matrix_shape_rule,42x42 over canonical ordered non-diagonal pair basis,documented_existing_evidence,data/matrix_construction_rule_contract.csv,accepted,high,none,none,preserve,required_pass
FL-024,C5_matrix_construction_rule,matrix_index_order_rule,numeric ascending pair_i then pair_j,documented_existing_evidence,data/matrix_construction_rule_contract.csv,accepted,high,none,none,preserve,required_pass
FL-025,C5_matrix_construction_rule,matrix_entry_formula_or_callable,normalized vector dot product,documented_existing_evidence,data/matrix_construction_rule_contract.csv,accepted,high,none,none,preserve_formula_but_add_callable,required_pass_after_patch
FL-026,C5_matrix_construction_rule,weighting_rule,uniform over x_index for first scope,documented_existing_evidence,data/matrix_construction_rule_contract.csv,accepted,high,none,none,preserve,required_pass
FL-027,C5_matrix_construction_rule,normalization_rule,L2-normalize each phase-response vector,documented_existing_evidence,data/matrix_construction_rule_contract.csv,accepted,high,none,none,preserve,required_pass
FL-028,C5_matrix_construction_rule,aggregation_rule,normalized @ normalized.T,derived_from_existing_code_trace,data/matrix_construction_rule_contract.csv,accepted_with_note,medium,none,"Aggregation is code-derived; final callable docs must make it explicit.",document_in_source_patch,required_pass_after_patch
FL-029,C5_matrix_construction_rule,symmetrization_rule,K = (K + K.T) / 2,derived_from_existing_code_trace,data/matrix_construction_rule_contract.csv,accepted_with_note,medium,none,"Symmetrization is code-derived; final callable docs must make it explicit.",document_in_source_patch,required_pass_after_patch
FL-030,C5_matrix_construction_rule,missing_value_policy,missing_not_documented,missing_not_documented,data/matrix_construction_rule_contract.csv,requires_source_patch,none,"Missing value policy is essential and undocumented.",none,define_policy_in_source_patch,blocks_01A
FL-031,C6_numerical_and_validation_policy,PSD_check_rule,eigvalsh(K) minimum >= -1e-10,documented_existing_evidence,data/numerical_validation_policy_contract.csv,accepted,high,none,none,preserve,required_pass
FL-032,C6_numerical_and_validation_policy,rank_check_rule,missing_not_documented,missing_not_documented,data/numerical_validation_policy_contract.csv,requires_source_patch,none,"Rank check rule is essential for the sufficiency design metrics.",none,define_rank_policy,blocks_01A
FL-033,C6_numerical_and_validation_policy,eigenvalue_threshold_policy,minimum eigenvalue tolerance only,partial_evidence_requires_review,data/numerical_validation_policy_contract.csv,requires_contract_revision,medium,"Full eigenvalue threshold policy is incomplete.",none,revise_validation_policy,blocks_01A
FL-034,C6_numerical_and_validation_policy,numerical_rank_threshold,missing_not_documented,missing_not_documented,data/numerical_validation_policy_contract.csv,requires_source_patch,none,"Numerical rank threshold is essential and undocumented.",none,define_rank_policy,blocks_01A
FL-035,C6_numerical_and_validation_policy,baseline_validation_rule,finite shape symmetry diagonal PSD range,documented_existing_evidence,data/numerical_validation_policy_contract.csv,accepted,high,none,none,preserve,required_pass
FL-036,C6_numerical_and_validation_policy,expected_output_hash_or_similarity_rule,K export sha256,partial_evidence_requires_review,data/numerical_validation_policy_contract.csv,accepted_with_note,medium,none,"Exact hash accepted as candidate gate, but final callable must reproduce or specify similarity rule.",confirm_in_patch_validation,required_pass_after_patch
