literature_id,mechanism_tag,tag_role
L1,relational_area_operator,context_vocabulary
L1,area_volume_spectrum,context_vocabulary
L2,area_volume_spectrum,context_vocabulary
L2,spin_network_polyhedral_geometry,comparison_structure
L3,holonomy_flux_algebra,context_vocabulary
L3,gauge_reference_frame_sensitivity,red_team_question
L4,relational_area_operator,context_vocabulary
L4,holonomy_flux_algebra,context_vocabulary
L4,spin_network_polyhedral_geometry,comparison_structure
L4,area_volume_spectrum,context_vocabulary
L5,spin_network_polyhedral_geometry,comparison_structure
L5,gauge_reference_frame_sensitivity,red_team_question
L6,spin_network_polyhedral_geometry,comparison_structure
L6,area_volume_spectrum,context_vocabulary
L7,area_volume_spectrum,context_vocabulary
L7,spin_network_polyhedral_geometry,comparison_structure
W1,holography_black_hole_entropy,context_vocabulary
W2,gauge_gravity_duality,comparison_structure
W2,holography_black_hole_entropy,context_vocabulary
W3,gauge_gravity_duality,comparison_structure
W3,holography_black_hole_entropy,context_vocabulary
W4,gauge_gravity_duality,comparison_structure
W4,holography_black_hole_entropy,context_vocabulary
W5,holography_black_hole_entropy,context_vocabulary
W5,gauge_gravity_duality,comparison_structure
W6,holography_black_hole_entropy,context_vocabulary
W7,gauge_gravity_duality,comparison_structure
W7,holography_black_hole_entropy,context_vocabulary
W7,red_team_pathology_warning,red_team_question
F1,doubled_string_geometry,comparison_structure
F1,born_geometry_phase_space,context_vocabulary
F2,doubled_string_geometry,comparison_structure
F2,born_geometry_phase_space,context_vocabulary
F3,relative_locality,context_vocabulary
F3,gauge_reference_frame_sensitivity,red_team_question
F4,born_geometry_phase_space,context_vocabulary
F4,doubled_string_geometry,comparison_structure
F5,modular_spacetime,context_vocabulary
F5,born_geometry_phase_space,context_vocabulary
F5,doubled_string_geometry,comparison_structure
F5,relative_locality,context_vocabulary
F6,modular_spacetime,context_vocabulary
F6,gauge_reference_frame_sensitivity,red_team_question
F7,modular_spacetime,context_vocabulary
F7,doubled_string_geometry,comparison_structure
F7,born_geometry_phase_space,context_vocabulary
F8,born_geometry_phase_space,context_vocabulary
F8,doubled_string_geometry,comparison_structure
F9,born_geometry_phase_space,context_vocabulary
F9,doubled_string_geometry,comparison_structure
