edge_id,source_node,target_node,edge_type,edge_label,claim_boundary,notes
"E001","S01_01A","S02_01B","synthesis_flow","inventory to pattern matrix","Flow is documentation sequence, not proof chain.","01A feeds 01B."
"E002","S02_01B","S03_01C","synthesis_flow","pattern matrix to evidence binding","Flow is documentation sequence, not proof chain.","01B feeds 01C."
"E003","S03_01C","S04_01D","synthesis_flow","evidence binding to source/gate binding","Flow is documentation sequence, not proof chain.","01C feeds 01D."
"E004","S04_01D","S05_01E","synthesis_flow","source/gate binding to conservative readout","Flow is documentation sequence, not proof chain.","01D feeds 01E."
"E005","S05_01E","S06_01F","synthesis_flow","conservative readout to documentation-ready map","Flow is documentation sequence, not proof chain.","01E feeds 01F."
"E006","S06_01F","S07_01G","synthesis_flow","documentation-ready map to visual map","Flow is documentation sequence, not proof chain.","01F feeds 01G."
"E007","R01","R09","integrates","diagnostic readout contributes to integrated map","R09 is methodological only.","R01 integration edge."
"E008","R02","R09","integrates","core/envelope readout contributes to integrated map","R09 is methodological only.","R02 integration edge."
"E009","R03","R09","integrates","geometry-proxy readout contributes to integrated map","Geometry proxy remains proxy.","R03 integration edge."
"E010","R04","R09","integrates","C60 gate readout contributes to integrated map","C60 is testbed, not target.","R04 integration edge."
"E011","R05","R09","integrates","replay ladder contributes to integrated map","Replay ladder is not full certification.","R05 integration edge."
"E012","R06","R09","integrates","null-family boundary contributes to integrated map","Null families are bounded controls.","R06 integration edge."
"E013","R07","R09","integrates","isotope/structure extension contributes to integrated map","Structured-null diagnostics only.","R07 integration edge."
"E014","R08","R09","integrates","gap-marker exclusion contributes to integrated map","Gap-only markers carry no evidence load.","R08 integration edge."
"E015","R04","G01","bounded_by","C60 guardrail","C60 is testbed, not target.","Bounds C60 gate discipline."
"E016","R03","G02","bounded_by","geometry proxy guardrail","Geometry proxy remains proxy.","Bounds geometry proxy readability."
"E017","R05","G03","bounded_by","replay guardrail","Stage3A and G5G2 photo agreement are not full replay certification.","Bounds replay ladder."
"E018","R06","G04","bounded_by","null-family guardrail","No universal null exclusion.","Bounds null-family boundary."
"E019","R07","G05","bounded_by","isotope/structure guardrail","No direct de-Broglie confirmation.","Bounds isotope/structure extension."
"E020","R08","G06","bounded_by","gap-marker guardrail","Gap-only markers excluded from evidence load.","Bounds gap-marker exclusion."
"E021","R09","G07","bounded_by","integrated map guardrail","R09 is methodological, not proof.","Bounds integrated bridge map."
"E022","G01","R09","excludes_overclaim","excludes C60 target overclaim","C60 is not the target.","Guardrail blocks target overclaim."
"E023","G02","R09","excludes_overclaim","excludes physical geometry overclaim","No physical geometry reconstruction.","Guardrail blocks geometry overclaim."
"E024","G03","R09","excludes_overclaim","excludes full replay overclaim","No full raw-order certification.","Guardrail blocks replay overclaim."
"E025","G04","R09","excludes_overclaim","excludes global non-genericity overclaim","No global non-genericity.","Guardrail blocks null-family overclaim."
"E026","G05","R09","excludes_overclaim","excludes de-Broglie confirmation overclaim","No direct de-Broglie confirmation.","Guardrail blocks isotope/structure overclaim."
"E027","G06","R09","excludes_overclaim","excludes gap-marker evidence overclaim","Gap markers carry no evidence load.","Guardrail blocks gap-marker overclaim."
