cluster_id,run_count,result_files_found,readout_found,claims_found,state_found,scan_found,tau_response_found,summary_found,metadata_found,variant_reports_found,archival_status,associated_run_ids,note
bridge_carrier_block_c_v1,10,12,false,false,false,false,false,true,false,true,replay_candidate,bridge_carrier_block_c_v1;bridge_carrier_block_c_v1/variant_reports/full;bridge_carrier_block_c_v1/variant_reports/single_distance;bridge_carrier_block_c_v1/variant_reports/single_grid;bridge_carrier_block_c_v1/variant_reports/single_rigidity;bridge_carrier_block_c_v1/variant_reports/single_spacing;bridge_carrier_block_c_v1/variant_reports/triple_without_distance;bridge_carrier_block_c_v1/variant_reports/triple_without_grid;bridge_carrier_block_c_v1/variant_reports/triple_without_rigidity;bridge_carrier_block_c_v1/variant_reports/triple_without_spacing,"Carrier block has variant reports but needs script/config/input provenance. Replay candidate means artifact completeness only, not canonical validation."
bridge_carrier_block_d_v1,6,8,false,false,false,false,false,true,false,true,replay_candidate,bridge_carrier_block_d_v1;bridge_carrier_block_d_v1/variant_reports/full;bridge_carrier_block_d_v1/variant_reports/pair_rigidity_grid;bridge_carrier_block_d_v1/variant_reports/single_rigidity;bridge_carrier_block_d_v1/variant_reports/triple_without_distance;bridge_carrier_block_d_v1/variant_reports/triple_without_spacing,"Carrier block has variant reports but needs script/config/input provenance. Replay candidate means artifact completeness only, not canonical validation."
bridge_carrier_block_e_v1,7,9,false,false,false,false,false,true,false,true,replay_candidate,bridge_carrier_block_e_v1;bridge_carrier_block_e_v1/variant_reports/full_reference;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_only;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_distance;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_grid;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_grid_plus_distance;bridge_carrier_block_e_v1/variant_reports/proxy_rigidity_plus_spacing,"Carrier block has variant reports but needs script/config/input provenance. Replay candidate means artifact completeness only, not canonical validation."
bridge_carrier_leave_one_out_v1,6,8,false,false,false,false,false,true,false,true,replay_candidate,bridge_carrier_leave_one_out_v1;bridge_carrier_leave_one_out_v1/variant_reports/full;bridge_carrier_leave_one_out_v1/variant_reports/minus_distance_to_type_D;bridge_carrier_leave_one_out_v1/variant_reports/minus_grid_deviation_score;bridge_carrier_leave_one_out_v1/variant_reports/minus_simple_rigidity_surrogate;bridge_carrier_leave_one_out_v1/variant_reports/minus_spacing_cv,"Carrier block has variant reports but needs script/config/input provenance. Replay candidate means artifact completeness only, not canonical validation."
bridge_carrier_minimal_set_block_b_v1,7,9,false,false,false,false,false,true,false,true,replay_candidate,bridge_carrier_minimal_set_block_b_v1;bridge_carrier_minimal_set_block_b_v1/variant_reports/full;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_grid_distance;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_grid_spacing;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_rigidity_distance;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_rigidity_grid;bridge_carrier_minimal_set_block_b_v1/variant_reports/pair_rigidity_spacing,"Carrier block has variant reports but needs script/config/input provenance. Replay candidate means artifact completeness only, not canonical validation."
bridge_minimal_model_v1,10,30,true,true,true,false,false,false,false,false,replay_candidate,bridge_minimal_model_v1;k0/abs;k0/negative;k0/positive;n1a_alpha/abs;n1a_alpha/negative;n1a_alpha/positive;theta_0.03/abs;theta_0.03/negative;theta_0.03/positive,"Contains nested k0/n1a_alpha/theta_0.03 negative/abs/positive result states. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature,4,20,true,true,true,true,true,false,false,false,replay_candidate,debroglie_matter_signature_run_a;debroglie_matter_signature_run_b;debroglie_matter_signature_run_c;debroglie_matter_signature_run_d,"Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_isotope,3,12,true,true,true,true,false,false,false,false,replay_candidate,debroglie_matter_signature_isotope_run_a;debroglie_matter_signature_isotope_run_b;debroglie_matter_signature_isotope_run_c,"Isotope line remains surrogate-level until canonical rerun. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_isotope_carbon,3,12,true,true,true,true,false,false,false,false,replay_candidate,debroglie_matter_signature_isotope_carbon_run_a;debroglie_matter_signature_isotope_carbon_run_b;debroglie_matter_signature_isotope_carbon_run_c,"Isotope line remains surrogate-level until canonical rerun. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_isotope_strontium,3,12,true,true,true,true,false,false,false,false,replay_candidate,debroglie_matter_signature_isotope_strontium_run_a;debroglie_matter_signature_isotope_strontium_run_b;debroglie_matter_signature_isotope_strontium_run_c,"Isotope line remains surrogate-level until canonical rerun. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_qc,1,4,true,true,true,true,false,false,false,false,replay_candidate,debroglie_matter_signature_qc_run_a,"QC/shell/valence descriptor line remains surrogate-level until canonical rerun. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_qc_shell,1,4,true,true,true,true,false,false,false,false,replay_candidate,debroglie_matter_signature_qc_shell_run_a,"QC/shell/valence descriptor line remains surrogate-level until canonical rerun. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_qc_valence,1,4,true,true,true,true,false,false,false,false,replay_candidate,debroglie_matter_signature_qc_valence_run_a,"QC/shell/valence descriptor line remains surrogate-level until canonical rerun. Replay candidate means artifact completeness only, not canonical validation."
debroglie_matter_signature_vdw,3,15,true,true,true,true,true,false,false,false,replay_candidate,debroglie_matter_signature_vdw_run_a;debroglie_matter_signature_vdw_run_b;debroglie_matter_signature_vdw_run_c,"VDW axis requires disambiguation against score mixing and normalization artifacts. Replay candidate means artifact completeness only, not canonical validation."
n1_a1_b1_decoupling_v1,9,13,true,false,false,false,false,true,true,false,replay_candidate,n1_a1_b1_decoupling_v1;n1_a1_b1_decoupling_v1_k0.summary;n1_a1_b1_decoupling_v1_n1a_alpha.summary;n1_a1_b1_decoupling_v1_theta_003.summary;n1a_alpha_tau_0.02.summary;n1a_alpha_tau_0.0225.summary;n1a_alpha_tau_0.025.summary;n1a_alpha_tau_0.0275.summary;n1a_alpha_tau_0.03.summary,"Includes flat summary files normalized into this cluster inventory row. Replay candidate means artifact completeness only, not canonical validation."
n1_alt_neighborhood_v1,1,8,true,false,false,false,false,true,true,false,replay_candidate,n1_alt_neighborhood_v1,"Alternative-neighborhood controls are boundary/provenance candidates. Replay candidate means artifact completeness only, not canonical validation."
n1_alt_neighborhood_v2,1,8,true,false,false,false,false,true,true,false,replay_candidate,n1_alt_neighborhood_v2,"Alternative-neighborhood controls are boundary/provenance candidates. Replay candidate means artifact completeness only, not canonical validation."
