claim_id,result_statement,supporting_readout,support_basis,support_level,claim_status,required_boundary,forbidden_overclaim,next_research_move,documentation_use,notes
"C01_methodical_bridge_map_supported","The existing QSB-BRIDGE-SYNTH artifacts support a methodical bridge-synthesis map of the current correlation-bridge workstream.","R09 integrated bridge map; 01G visual documentation map","01A-01G synthesis artifacts; 01F documentation map; 01G visual map","documentation_synthesis","internal_method_result","Integrated map is methodological only; it is not a QSB thesis, physical proof, geometry reconstruction, replay certification, or global non-genericity claim.","QSB is proven; spacetime emergence is shown; global non-genericity is established; R09 or the integrated map is a physical thesis.","Keep all component readouts separated and attach claim boundaries in downstream documentation.","internal_method_note;masterchat_summary;cautious_documentation","This is the top-level 02A synthesis claim and carries only documentation-level force."
"C02_feature_backbone_axis_visible","Feature/backbone behavior is visible as a controlled sensitivity axis involving feature source, feature ablation, edge-count controls, and decision thresholds.","R01 feature/backbone sensitivity","01A inventory; 01B pattern matrix; 01C evidence binding; 01E and 01F readouts","conservative_inventory_support","documentation_ready_with_boundary","Sensitivity-axis readout only; no physical bridge, no structural primitive, no global non-genericity.","QSB is proven; a physical bridge is identified; arrangement_signal is a primitive.","Bind BMC12c/BMC12e/BMC12f per-variant threshold and arm rows without new numerics unless separately specified.","internal_method_note;masterchat_summary","Use only as a methodical sensitivity-axis statement."
"C03_core_envelope_separation_required","Core and envelope behavior should remain separated as graph-diagnostic layers with different sensitivity profiles.","R02 core/envelope separation","01B pattern matrix; 01C evidence binding; 01D null-family normalization; 01D proxy marker source binding; 01F readout","source_bound_support","documentation_ready_with_boundary","Core/Envelope-Containment is graph behavior, not physical embedding or physical containment.","Core containment proves physical structure; envelope containment is spacetime embedding; physical geometry is reconstructed.","Normalize edge/node/envelope containment aliases and bind per-construction rows.","internal_method_note;masterchat_summary;cautious_documentation","Separation prevents larger-envelope construction sensitivity from being read as compact-core behavior."
"C04_geometry_proxy_readable_as_proxy","Geometry-proxy diagnostics are graph-readable as proxy diagnostics with source-bound components separated from umbrella proxy language.","R03 geometry proxy readability","01D proxy marker source binding; 01E conservative readout; 01F documentation-ready map","source_bound_support","documentation_ready_with_boundary","Geometry Proxy remains Proxy; no physical geometry, metric reconstruction, causal structure, Lorentzian structure, or spacetime emergence follows.","Physical geometry is reconstructed; metric structure is recovered; causal structure is shown; spacetime emergence is shown.","Bind remaining proxy component columns and avoid using geometry_proxy_score as a single physical value.","internal_method_note;masterchat_summary;cautious_documentation","Proxy readability is allowed; physical geometry language is not."
"C05_c60_gate_discipline_required","C60/FU02 supports a gate-discipline readout separating near screening, exactness, isomorphism, mapping count, role transport, and node/edge agreement.","R04 C60 gate discipline","01D C60 candidate gate table; 01E claim map; 01F readout; 01G guardrails","gate_bound_support","documentation_ready_with_boundary","C60 is testbed, not target; near_distance=0 is not identity/isomorphism; role_transport_allowed follows only from explicit mapping/isomorphism gates.","C60 is the target; near_distance=0 implies identity or isomorphism; roles can be transported from coarse signatures or near-distance alone.","Keep candidate_005 stress case and candidate_008 exact positive control separated in future readouts.","internal_method_note;masterchat_summary","This claim is about gate discipline, not about C60 as a physical target."
"C06_replay_certification_ladder_required","Replay certification is staged as a ladder rather than a binary status.","R05 replay ladder","01D replay certification ladder; 01E claim map; 01F readout; 01G guardrails","gate_bound_support","documentation_ready_with_boundary","No full raw-order certification unless full replay and original enumerator rerun are certified true; Stage3A DRY_RUN_READY is not full replay; G5G2 per-index photo agreement is not full certification.","Stage3A is full replay; G5G2 node/edge agreement certifies full raw order; partial certification is full certification.","Only a separately specified and executed full replay can change this level.","internal_method_note;masterchat_summary","Replay remains a ladder; 02A makes no new replay claim."
"C07_null_families_bound_interpretation","Null families bound interpretation by exposing family-dependent behavior but do not universally exclude all null explanations.","R06 null-family boundary","01D null-family normalization table; 01E claim map; 01F documentation-ready map","boundary_only","boundary_only","Structured-null diagnostics are family-bounded; no global non-genericity follows.","All null explanations are excluded; global non-genericity is established.","Separate source-column-bound preserved/broken variables from result-note-bound summaries.","internal_method_note;cautious_documentation","Null families sharpen boundaries rather than proving universal exclusion."
"C08_isotope_structure_axes_extend_controls","Isotope and structure-information axes extend the structured-null control landscape beyond the original geometry-proxy line.","R07 isotope/structure extension","01D null-family normalization; 01E conservative readout; 01F documentation map","boundary_only","documentation_ready_with_boundary","Isotope/structure axes are structured-null diagnostics only; no direct de-Broglie confirmation and no spacetime claim follows.","Isotope axes confirm de-Broglie physics; structure-information diagnostics prove spacetime emergence.","Create a cross-axis schema for null_family, metric_name, construction_variant, interpretation_label, and source axis.","internal_method_note;cautious_documentation","This is a control-extension claim, not a physical-theory confirmation."
"C09_gap_markers_excluded_from_evidence","Gap-only and concept-only markers are excluded from evidence-carrying synthesis until source-bound.","R08 gap-marker exclusion","01D proxy marker source binding; 01E claim map; 01F documentation-ready map","gap_only","gap_register_only","weighted_clustering, lambda2_abs, chi_alpha, rho_pos, and rho_neg carry no evidence load until source-bound.","Gap-only markers support geometry, spectral, statistical, or correlation claims.","Either source-bind these markers in inventoried artifacts or keep them excluded from evidence-carrying synthesis.","gap_register_only","Gap markers are vocabulary or gap-register items only."
"C10_integrated_map_is_methodological_only","The integrated bridge map documents recurring diagnostic, gate, proxy, null-boundary, replay-ladder, control-extension, and gap-register structures as methodically visible properties only.","Integrated result reading; R01-R08 composition","01E conservative readout; 01F documentation-ready map; 01G visual documentation map; 02A summary","documentation_synthesis","internal_method_result","The integrated map is methodological only; it is a structured synthesis of existing artifacts, not a physical proof or physical thesis.","QSB is proven; physical emergence is shown; spacetime emergence is shown; physical geometry is reconstructed; global non-genericity is established; R09 integrated bridge map is a physical thesis.","Use the integrated map only with all component boundaries attached and no stronger physical language.","internal_method_note;masterchat_summary;cautious_documentation","C10 intentionally carries no physical thesis."
