table_name,field_name,canonical_name,de_label,en_label,description_de,description_en,data_type,allowed_values,lineage_note,claim_boundary_note
qsb_literature_source,literature_id,literature_id,Literatur-ID,Literature ID,"Stabile ID der Literaturzeile.","Stable literature row ID.",TEXT,"","Prepared from task prompt seed rows.","Literature context only; no internal evidence."
qsb_literature_source,source_key,source_key,Quellschlüssel,Source key,"Quellschlüssel aus dem Prompt.","Source key from prompt.",TEXT,"","Prepared from task prompt seed rows.","Literature context only; no internal evidence."
qsb_literature_source,title,title,Titel,Title,"Titel der Quelle.","Source title.",TEXT,"","Prepared from task prompt seed rows.","Literature context only; no internal evidence."
qsb_literature_source,authors,authors,Autoren,Authors,"Autorenangabe aus dem Prompt.","Author string from prompt.",TEXT,"","Prepared from task prompt seed rows.","Literature context only; no internal evidence."
qsb_literature_source,year,year,Jahr,Year,"Publikationsjahr aus dem Prompt.","Publication year from prompt.",INTEGER,"","Prepared from task prompt seed rows.","Literature context only; no internal evidence."
qsb_literature_source,venue,venue,Publikationsort,Venue,"Publikationsort, falls bekannt.","Venue if known.",TEXT,"","Empty when unavailable in prompt.","Literature context only; no internal evidence."
qsb_literature_source,doi,doi,DOI,DOI,"DOI, falls im Bericht vorhanden.","DOI if present in report.",TEXT,"","Empty when unavailable in prompt.","Literature context only; no internal evidence."
qsb_literature_source,arxiv_id,arxiv_id,arXiv-ID,arXiv ID,"arXiv-ID, falls im Bericht vorhanden.","arXiv ID if present in report.",TEXT,"","Empty when unavailable in prompt.","Literature context only; no internal evidence."
qsb_literature_source,source_type,source_type,Quellentyp,Source type,"Normalisierter Quellentyp.","Normalized source type.",TEXT,"primary_literature;review;handbook_chapter;lecture_notes;speculative_program;secondary_commentary","Prepared from prompt classifications.","Literature context only; no internal evidence."
qsb_literature_source,source_class,source_class,Quellenklasse,Source class,"Claim-sichere Quellenklasse.","Claim-safe source class.",TEXT,"GREEN;GREEN-YELLOW;YELLOW;RED-YELLOW;RED","Prepared from prompt classifications.","Literature context only; no internal evidence."
qsb_literature_source,author_cluster,author_cluster,Autorencluster,Author cluster,"Cluster nach Literaturfamilie.","Cluster by literature family.",TEXT,"LQG_quantum_geometry;Wadia_holography_string_black_holes;FLM_Born_metastring_modular_spacetime","Prepared from prompt classifications.","Literature context only; no internal evidence."
qsb_literature_source,theory_cluster,theory_cluster,Theoriecluster,Theory cluster,"Theorie-Kontextcluster.","Theory context cluster.",TEXT,"loop_quantum_geometry;holography_string_qg;born_geometry_phase_space","Prepared from prompt classifications.","Literature context only; no internal evidence."
qsb_literature_source,green_status,green_status,Grünstatus,Green status,"Status aus dem Prompt.","Status from prompt.",TEXT,"GREEN;GREEN-YELLOW;YELLOW;RED-YELLOW;RED","Prepared from prompt classifications.","Literature context only; no internal evidence."
qsb_literature_source,risk_status,risk_status,Risikostatus,Risk status,"Konservative Risikostufe für Suchraum-Nutzung.","Conservative risk status for search-space use.",TEXT,"low;medium;high","Derived from source_class only.","Literature context only; no internal evidence."
qsb_literature_source,verification_status,verification_status,Verifikationsstatus,Verification status,"Verifikationsstatus der Literaturdetails.","Verification status of literature details.",TEXT,"verified_from_deep_research_report;needs_doi_or_arxiv_verification;needs_human_review","No web verification performed.","Literature context only; no internal evidence."
qsb_literature_source,discovery_channel,discovery_channel,Discovery-Kanal,Discovery channel,"Herkunft der Seed-Zeile.","Origin of seed row.",TEXT,"deep_research_report;academia_discovery_verified_elsewhere;arxiv;inspire;journal","Prepared from user prompt.","Literature context only; no internal evidence."
qsb_literature_mechanism_tag,mechanism_tag,mechanism_tag,Mechanismus-Tag,Mechanism tag,"Suchraum- und Vokabular-Tag; kein Mechanismusclaim.","Search-space and vocabulary tag; not a mechanism claim.",TEXT,"","Prepared from prompt tag list.","Literature context only; no internal evidence."
qsb_literature_qsb_mapping,qsb_structure_tag,qsb_structure_tag,QSB-Struktur-Tag,QSB structure tag,"Orientierender Struktur-Tag für spätere Cube-Arbeit.","Orientation structure tag for later cube work.",TEXT,"","Derived from mechanism tags for planning only.","Literature context only; no internal evidence."
qsb_literature_claim_boundary,internal_evidence_flag,internal_evidence_flag,Interne-Evidenz-Flag,Internal evidence flag,"Muss immer 0 sein.","Must always be 0.",INTEGER,"0","Required boundary value from prompt.","Not internal evidence."
qsb_literature_claim_boundary,mechanism_claim_support,mechanism_claim_support,Mechanismusclaim-Unterstützung,Mechanism claim support,"Muss immer 0 sein.","Must always be 0.",INTEGER,"0","Required boundary value from prompt.","No mechanism claim support."
qsb_literature_claim_boundary,physical_claim_support,physical_claim_support,Physikclaim-Unterstützung,Physical claim support,"Muss immer 0 sein.","Must always be 0.",INTEGER,"0","Required boundary value from prompt.","No physical claim support."
qsb_literature_claim_boundary,allowed_use,allowed_use,Erlaubte Nutzung,Allowed use,"Zugelassene Kontextnutzung.","Allowed context use.",TEXT,"context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation","Required boundary value from prompt.","Literature context only."
qsb_literature_claim_boundary,forbidden_use,forbidden_use,Verbotene Nutzung,Forbidden use,"Nicht erlaubte Nutzung.","Forbidden use.",TEXT,"evidence;result;mechanism_confirmation;physics_claim","Conservative import policy.","Literature rows cannot be used as evidence."
qsb_literature_claim_boundary,claim_boundary,claim_boundary,Claim-Grenze,Claim boundary,"Explizite Claim-Grenze.","Explicit claim boundary.",TEXT,"literature_context_only_no_internal_evidence_no_mechanism_claim","Required boundary value from prompt.","No internal evidence, no mechanism claim."
