query,path,line_number,excerpt,evidence_type,trace_relevance,claim_boundary
theta_edge,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/06_frozen_decision_carry_forward_review.csv,11,"HF-10,freeze_validation_matrix,""[""""source_selection_query_frozen"""", """"state_family_frozen"""", """"K_mode_frozen"""", """"ell0_frozen"""", """"epsilon_Gram_frozen"""", """"distance_to_strength_transform_frozen"""", """"theta_edge_frozen"""", """"kernel_subset_frozen"""", """"cluster_prot",threshold_candidate,medium,trace_resolution_only_no_physics_claim
relation_strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,1,"row_pair_id,column_pair_id,relation_strength,lineage_bundle_sha256",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",threshold_candidate,medium,trace_resolution_only_no_physics_claim
pair_a,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",threshold_candidate,medium,trace_resolution_only_no_physics_claim
pair_b,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",threshold_candidate,medium,trace_resolution_only_no_physics_claim
theta_edge,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",threshold_candidate,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,10,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,10,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,10,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,24,"run_output,16_edge_candidate_result.csv,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,453f9bd52bd8d1dece2934f2d1dc5e54ccda1993f703e1c22f1807531f6e0bfa,output integrity,pass,23_lineage_and_hash_audit.csv self-hash exc",direct_output_filename,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03/prepare_execution_package.py,25,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03/prepare_execution_package.py,25,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03/prepare_execution_package.py,64,"channels=[""raw_delta_phi"",""wrapped_delta_phi"",""cos_delta_phi"",""sin_delta_phi"",""abs_cos_delta_phi"",""phase_response_vector"",""K_candidate"",""d_cost_candidate"",""D_shortest_path_candidate"",""edge_strength_candidate"",""edge_candidate_flag"",""cluster_candidate_id"",""motif",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03/prepare_execution_package.py,65,"future={""K_candidate"",""d_cost_candidate"",""D_shortest_path_candidate"",""edge_candidate_flag"",""cluster_candidate_id"",""motif_candidate_id""}",candidate_column_name,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03/prepare_execution_package.py,75,"edgeparts=[(""theta_edge"",hf(""HF-06""),""future edge candidate"",""positive; frozen; not L2 theta""),(""edge_candidate_rule"",""edge_strength_candidate >= theta_edge"",""future K/d/D output"",""validate deterministic application""),(""edge_strength_source"",hf5,""future d cost",threshold_candidate,high,trace_resolution_only_no_physics_claim
relation_strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,50,"""strength"": (A/""15_strength_matrix.csv"", ""relation_strength"", [FILES[19],FILES[20],FILES[21]], FILES[28]),",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,52,"EDGE_PATH = A/""16_edge_candidate_result.csv""",direct_output_filename,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,79,"writer=csv.DictWriter(handle,fieldnames=fields,extrasaction=""ignore""); writer.writeheader(); writer.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,79,"writer=csv.DictWriter(handle,fieldnames=fields,extrasaction=""ignore""); writer.writeheader(); writer.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,146,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}: edge_parse_ok=False; continue",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,146,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}: edge_parse_ok=False; continue",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,146,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}: edge_parse_ok=False; continue",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,147,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]]; value=float(row[""edge_candidate_flag""]); edge_matrix[i,j]=value; edge_matrix[j,i]=value",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,147,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]]; value=float(row[""edge_candidate_flag""]); edge_matrix[i,j]=value; edge_matrix[j,i]=value",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,147,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]]; value=float(row[""edge_candidate_flag""]); edge_matrix[i,j]=value; edge_matrix[j,i]=value",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,148,"if value==1: accepted.add(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
