placeholder_field,artifact,current_status,design_stage_acceptability,preflight_stage_requirement,execution_stage_requirement,required_action,blocking_level
lag_class_column,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must_be_present_and_keyed_by_canonical_pair_id,resolve_before_or_during_preflight,blocking_for_preflight
duplicate_pair_policy,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must_be_fixed_before_matrix_or_control execution,resolve_before_or_during_preflight,blocking_for_preflight
missing_pair_policy,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must_be_fixed_before_matrix_or_control execution,resolve_before_or_during_preflight,blocking_for_preflight
lag_class_definition,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must_match lag handoff and arm B definition,resolve_before_or_during_preflight,blocking_for_preflight
lag_sort_order,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must_be immutable and hashed if used,resolve_before_or_during_preflight,blocking_for_preflight
missing_value_policy,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must be enforced before execution,resolve_before_or_during_preflight,blocking_for_preflight
rank_check_rule,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_explicitly_disabled,must be applied or disabled with reason,resolve_before_execution_prompt,blocking_for_execution
eigenvalue_threshold_policy,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_explicitly_disabled,must be applied or disabled with reason,resolve_before_execution_prompt,blocking_for_execution
numerical_rank_threshold,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_if_rank_used,must be immutable before results,resolve_before_execution_prompt,blocking_for_execution
equal_cardinality_partition_eligibility,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_arm_C_stops,must be fixed before random partition controls,resolve_before_or_during_preflight,blocking_for_preflight
random_seed_policy,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_random_controls_stop,must be immutable before trials,resolve_before_or_during_preflight,blocking_for_preflight
trial_count_policy,contract_field_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or_random_controls_stop,must be fixed before trials,resolve_before_or_during_preflight,blocking_for_preflight
lag_value_column,lag_class_handoff.csv,requires_human_value,acceptable_for_design,must_be_declared_or_preflight_stops,must be present before lag arms,resolve_before_or_during_preflight,blocking_for_preflight
lag_class_cardinality_export,lag_class_handoff.csv,requires_human_value,acceptable_for_design,must_be_declared_or_control arms stop,must match pair count before controls,resolve_before_or_during_preflight,blocking_for_preflight
randomization_manifest_schema,control_policy_export.csv,requires_human_value,acceptable_for_design,must_be_declared_or random controls stop,must validate before random trials,resolve_before_or_during_preflight,blocking_for_preflight
