blocker_id,source_review_artifact,contract_section,field_name,human_review_decision,why_blocking,required_patch_type,minimal_resolution,execution_01A_impact
BI-01,human_review/blocking_issues.csv,C2_input_tables_and_identity,duplicate_row_policy,requires_source_patch,"Policy is essential and missing.",contract_artifact_patch_required,"Declare fail-on-duplicate or exact canonicalization rule in exported contract fields.",blocks_01A
BI-02,human_review/blocking_issues.csv,C2_input_tables_and_identity,missing_row_policy,requires_source_patch,"Policy is essential and missing.",contract_artifact_patch_required,"Declare fail-on-missing source row policy and validation check.",blocks_01A
BI-03,human_review/blocking_issues.csv,C3_pair_and_diagonal_policy,duplicate_pair_policy,requires_source_patch,"Policy is essential and missing.",contract_artifact_patch_required,"Declare duplicate canonical pair policy and validation check.",blocks_01A
BI-04,human_review/blocking_issues.csv,C3_pair_and_diagonal_policy,missing_pair_policy,requires_source_patch,"Policy is essential and missing.",contract_artifact_patch_required,"Declare expected pair count/order and fail-on-missing pair policy.",blocks_01A
BI-05,human_review/blocking_issues.csv,C4_lag_policy,lag_class_column,requires_source_patch,"Lag-class handoff is missing.",export_manifest_patch_required,"Export lag_value and lag_class columns keyed by canonical_pair_id.",blocks_01A
BI-06,human_review/blocking_issues.csv,C4_lag_policy,lag_class_definition,requires_source_patch,"Lag-class definition is missing.",contract_artifact_patch_required,"Define lag_class from pair endpoints or approved source field.",blocks_01A
BI-07,human_review/blocking_issues.csv,C4_lag_policy,lag_sort_order,requires_source_patch,"Lag sort order is missing.",contract_artifact_patch_required,"Declare deterministic lag sort order and cardinality export.",blocks_01A
BI-08,human_review/blocking_issues.csv,C5_matrix_construction_rule,missing_value_policy,requires_source_patch,"Missing value policy is missing.",contract_artifact_patch_required,"Declare fail-on-nonfinite/missing values before matrix export.",blocks_01A
BI-09,human_review/blocking_issues.csv,C6_numerical_and_validation_policy,rank_check_rule,requires_source_patch,"Rank check rule is missing.",validation_harness_patch_required,"Declare rank method and threshold or explicit non-required status.",blocks_01A
BI-10,human_review/blocking_issues.csv,C7_randomization_and_controls_eligibility,random_seed_policy,requires_source_patch,"Random seed policy is missing.",contract_artifact_patch_required,"Expose seed namespace and deterministic generator policy.",blocks_01A
BI-11,human_review/blocking_issues.csv,C8_reconstruction_command_or_callable,reconstruction_script_or_function,requires_source_patch,"K-only callable is missing.",code_patch_required,"Create or wrap K-only callable with explicit inputs and no hidden state.",blocks_01A
BI-12,human_review/blocking_issues.csv,C8_reconstruction_command_or_callable,validation_command,requires_source_patch,"Validation command is missing.",validation_harness_patch_required,"Provide command that validates contract fields and K hash/similarity.",blocks_01A

