trace_type,query_or_item,path,line_number,excerpt,interpretation_boundary
primary_file_exists,16_edge_candidate_result.csv,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,,exists=True,trace_only_no_unverified_rule_claim
primary_file_header,header,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",trace_only_no_unverified_rule_claim
lineage_bundle_sha256,lineage_bundle_sha256,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,,9b242d40f34d864e4c521d873e94b3bea8f07b573386e99d617cd320d483646a,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/02_upstream_inventory_and_hashes.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/03_execution_authorization_import.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/04_s1_authorization_refresh_import.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/05_package_plus_s1_contract_import_review.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/06_frozen_decision_carry_forward_review.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/07_source_selection_result.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/08_canonical_pair_split_assignment.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/09_tensor_schema_runtime_mapping.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/10_phase_response_vector_summary.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/11_K_candidate_matrix.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/12_K_validation_results.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/13_distance_cost_matrix.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/14_shortest_path_D_matrix.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/17_kernel_execution_summary.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/18_cluster_dendrogram_candidate_result.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/19_motif_candidate_summary.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/21_extract03a_r1_result_mart.sqlite,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/22_result_mart_table_counts.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/24_unit_dimension_audit.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/25_validation_results.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/26_acceptance_gate_results.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/27_guard_results.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/28_review_items.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/29_claim_boundary_matrix.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/30_split_seed_audit.csv,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/31_short_result_note_de.md,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/32_next_step_recommendation.md,,file,trace_only_no_unverified_rule_claim
extract03_run_file,run_dir_listing,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/FINAL_RESULT_NOTE.md,,file,trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,2,"1,0|1,0|2,edge_candidate_flag=0;diagonal=0;theta_edge=0.5,no,0|1--0|2,clear_not_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,3,"2,0|1,0|3,edge_candidate_flag=0;diagonal=0;theta_edge=0.5,no,0|1--0|3,clear_not_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,4,"3,0|1,0|4,edge_candidate_flag=0;diagonal=0;theta_edge=0.5,no,0|1--0|4,clear_not_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,5,"4,0|1,0|5,edge_candidate_flag=0;diagonal=0;theta_edge=0.5,no,0|1--0|5,clear_not_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,6,"5,0|1,0|6,edge_candidate_flag=0;diagonal=0;theta_edge=0.5,no,0|1--0|6,clear_not_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,7,"6,0|1,1|0,edge_candidate_flag=1;diagonal=0;theta_edge=0.5,yes,0|1--1|0,clear_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,8,"7,0|1,1|2,edge_candidate_flag=1;diagonal=0;theta_edge=0.5,yes,0|1--1|2,clear_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
repo_text_match,edge_candidate_flag,runs/QSB-EXTRACT03-VIZ02/topology_organized_relational_matrix/04_accepted_edge_parse_review.csv,9,"8,0|1,1|3,edge_candidate_flag=0;diagonal=0;theta_edge=0.5,no,0|1--1|3,clear_not_accepted,Only explicit accepted tokens are used; no value inference.",trace_only_no_unverified_rule_claim
