node_id,node_label,node_type,source_block,documentation_role,claim_boundary,notes
"S01_01A","01A Inventory","synthesis_stage","QSB-BRIDGE-SYNTH-01A","inventory stage","Inventory only; no proof claim.","Initial result and marker inventory."
"S02_01B","01B Pattern Matrix","synthesis_stage","QSB-BRIDGE-SYNTH-01B","pattern grouping stage","Pattern grouping only; no proof claim.","Groups bridge-property readouts."
"S03_01C","01C Evidence Binding","synthesis_stage","QSB-BRIDGE-SYNTH-01C","evidence binding stage","Evidence-role binding only; no physical claim.","Binds groups to 01A evidence roles."
"S04_01D","01D Source/Gate Binding","synthesis_stage","QSB-BRIDGE-SYNTH-01D","source and gate binding stage","Gate/source binding only; no full replay or physical claim.","Adds candidate gates, replay ladder, null and proxy bindings."
"S05_01E","01E Conservative Readout","synthesis_stage","QSB-BRIDGE-SYNTH-01E","conservative readout stage","Conservative readout only; no QSB proof.","States eight bounded readouts."
"S06_01F","01F Documentation-Ready Map","synthesis_stage","QSB-BRIDGE-SYNTH-01F","documentation map stage","Documentation-ready map only; no physical proof.","Adds R09 integrated method map."
"S07_01G","01G Visual Map","synthesis_stage","QSB-BRIDGE-SYNTH-01G","visual documentation stage","Visual map only; no proof claim.","Current visual map."
"R01","Feature/backbone sensitivity","readout","QSB-BRIDGE-SYNTH-01F","diagnostic structure","Sensitivity-axis readout only; no physical bridge or global non-genericity.","Feature source, ablation, edge-count controls, thresholds."
"R02","Core/envelope separation","readout","QSB-BRIDGE-SYNTH-01F","diagnostic structure","Core/Envelope-Containment is graph behavior, not physical embedding.","Separates compact core and larger envelope layers."
"R03","Geometry proxy readability","readout","QSB-BRIDGE-SYNTH-01F","diagnostic structure","Geometry proxy remains proxy; no metric or causal reconstruction.","Graph-readable proxy diagnostics."
"R04","C60 gate discipline","readout","QSB-BRIDGE-SYNTH-01F","gate and boundary discipline","C60 is testbed, not target; near_distance=0 is not identity/isomorphism.","Candidate, isomorphism, mapping and transport gates."
"R05","Replay ladder","readout","QSB-BRIDGE-SYNTH-01F","gate and boundary discipline","No full raw-order certification without full replay and original enumerator rerun certification.","Staged replay/certification levels."
"R06","Null-family boundary","readout","QSB-BRIDGE-SYNTH-01F","gate and boundary discipline","Null families are bounded controls, not universal exclusions.","Family-bounded interpretation controls."
"R07","Isotope/structure extension","readout","QSB-BRIDGE-SYNTH-01F","control landscape / integration","Structured-null diagnostics only; no direct de-Broglie confirmation.","Extends control landscape."
"R08","Gap-marker exclusion","gap_register","QSB-BRIDGE-SYNTH-01F","gate and boundary discipline","Gap-only markers carry no evidence load.","weighted_clustering, lambda2_abs, chi_alpha, rho_pos, rho_neg excluded as evidence anchors."
"R09","Integrated bridge map","integration","QSB-BRIDGE-SYNTH-01F","control landscape / integration","R09 is methodological, not physical proof.","Integrates R01-R08 with claim boundaries."
"G01","C60 testbed not target","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","C60 is testbed, not target.","Protects C60 readouts."
"G02","Geometry proxy remains proxy","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","Geometry proxy remains proxy.","Protects geometry-proxy readouts."
"G03","Replay ladder not full certification","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","Replay ladder is not full raw-order certification.","Protects replay readouts."
"G04","Null families are bounded controls","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","Null families are bounded controls, not universal exclusions.","Protects null-family readouts."
"G05","Isotope/structure axes are structured-null diagnostics","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","No direct de-Broglie confirmation.","Protects isotope/structure readouts."
"G06","Gap markers carry no evidence load","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","Gap-only markers carry no evidence load.","Protects gap-marker status."
"G07","R09 methodological not proof","guardrail","QSB-BRIDGE-SYNTH-01F","claim-boundary guardrail","Integrated bridge map is methodological, not physical proof.","Protects integrated readout."
