canonical_name,display_label_de,quantity_kind,dimension_vector
dataset_id,Datensatz-ID,identifier,[dimensionless]
source_file_id,Quelldatei-ID,identifier,[dimensionless]
source_artifact_id,Quellartefakt-ID,identifier,[dimensionless]
run_id,Lauf-ID,identifier,[dimensionless]
galaxy_id,Galaxien-ID,identifier,[dimensionless]
radius_kpc,Radius (kpc),radius,[L]
distance_mpc,Entfernung (Mpc),distance,[L]
vobs_km_s,beobachtete Rotationsgeschwindigkeit,velocity,[L T^-1]
vobs_error_km_s,Unsicherheit der beobachteten Rotationsgeschwindigkeit,velocity_uncertainty,[L T^-1]
vgas_km_s,Gas-Geschwindigkeitsbeitrag,velocity,[L T^-1]
vdisk_km_s,Scheiben-Geschwindigkeitsbeitrag,velocity,[L T^-1]
vbul_km_s,Bulge-Geschwindigkeitsbeitrag,velocity,[L T^-1]
sbdisk_solLum_pc2,Scheiben-Oberflächenhelligkeit,surface_brightness,[surface_brightness_luminosity_area^-1]
sbbul_solLum_pc2,Bulge-Oberflächenhelligkeit,surface_brightness,[surface_brightness_luminosity_area^-1]
gobs_m_s2,beobachtete Beschleunigung,acceleration,[L T^-2]
gbar_m_s2,baryonische Beschleunigung,acceleration,[L T^-2]
log_gobs,Log beobachtete Beschleunigung,dimensionless_log_quantity,[dimensionless]
log_gbar,Log baryonische Beschleunigung,dimensionless_log_quantity,[dimensionless]
rar_point_id,RAR-Punkt-ID,identifier,[dimensionless]
massmodel_point_id,MassModel-Punkt-ID,identifier,[dimensionless]
unit_original,Originaleinheit,unit,[dimensionless]
unit_calculation,Berechnungseinheit,unit,[dimensionless]
unit_display,Anzeigeeinheit,unit,[dimensionless]
dimension_vector,Dimensionsvektor,dimension,[dimensionless]
conversion_rule_id,Umrechnungsregel-ID,conversion_rule,[dimensionless]
lineage_hash,Lineage-Hash,lineage,[dimensionless]
source_sha256,Quellen-SHA256,checksum,[dimensionless]
validation_status,Validierungsstatus,validation,[dimensionless]
claim_boundary,Claim-Grenze,claim_boundary,[dimensionless]
