candidate_id,candidate_label,source_type,required_fields,machine_readable_format_status,provenance_status,notes
c60,C60 fullerene,structural_coordinates,atom_id;element;x;y;z;units;source_id,known_possible_formats_xyz_sdf_mol_cif_required_later,provenance_required_before_DATA02,Reference geometry only; direct use for K_ij would be high smuggling risk.
c60,C60 fullerene,molecular_graph_bonding_adjacency,node_i;node_j;bond_order;source_id,known_possible_formats_edge_csv_sdf_mol_required_later,provenance_required_before_DATA02,Topology is reference/control material; graph-derived K risks re-encoding cage geometry.
c60,C60 fullerene,vibrational_frequencies_and_modes,mode_id;frequency;units;atom_id;dx;dy;dz;method_or_experiment;source_id,machine_readable_modes_required_later,provenance_required_before_DATA02,Potentially more independent than coordinates if provenance and construction chain are documented.
c60,C60 fullerene,spectral_normal_mode_information,mode_id;observable;value;units;assignment;source_id,machine_readable_spectral_table_required_later,provenance_required_before_DATA02,Needs assignment uncertainty and degeneracy handling.
c60,C60 fullerene,quantum_chemistry_outputs_if_locally_available_later,software;method;basis;matrix_type;i;j;value;units;source_id,format_depends_on_local_output,method_basis_and_input_geometry_required,Candidate only if local output is supplied later and coordinate dependence is documented.
benzene,Benzene / Benzol,structural_coordinates,atom_id;element;x;y;z;units;source_id,known_possible_formats_xyz_sdf_mol_required_later,provenance_required_before_DATA02,Reference geometry only; direct distance-derived K would mostly restate the target geometry.
benzene,Benzene / Benzol,molecular_graph_bonding_adjacency,node_i;node_j;bond_order;source_id,known_possible_formats_edge_csv_sdf_mol_required_later,provenance_required_before_DATA02,Ring adjacency nearly gives the target topology; use only as control or pipeline sanity input.
benzene,Benzene / Benzol,vibrational_frequencies_and_modes,mode_id;frequency;units;atom_id;dx;dy;dz;method_or_experiment;source_id,machine_readable_modes_required_later,provenance_required_before_DATA02,Potential DATA02 source if mode data are machine-readable and not collapsed to known geometry.
benzene,Benzene / Benzol,spectral_normal_mode_information,mode_id;observable;value;units;assignment;source_id,machine_readable_spectral_table_required_later,provenance_required_before_DATA02,"Requires source, assignment, and uncertainty documentation."
benzene,Benzene / Benzol,quantum_chemistry_outputs_if_locally_available_later,software;method;basis;matrix_type;i;j;value;units;source_id,format_depends_on_local_output,method_basis_and_input_geometry_required,Coordinate input and computed matrix provenance must be separated.
h2,H2 sanity candidate,structural_coordinates,atom_id;element;x;y;z;units;source_id,known_possible_formats_xyz_sdf_mol_required_later,provenance_required_before_DATA02,Pipeline sanity only; geometry is a single distance.
h2,H2 sanity candidate,molecular_graph_bonding_adjacency,node_i;node_j;bond_order;source_id,known_possible_formats_edge_csv_sdf_mol_required_later,provenance_required_before_DATA02,Too trivial for geometry-recovery interpretation.
h2,H2 sanity candidate,vibrational_frequencies_and_modes,mode_id;frequency;units;atom_id;dx;dy;dz;method_or_experiment;source_id,machine_readable_modes_required_later,provenance_required_before_DATA02,Sanity source only; no meaningful local-neighborhood diagnostic.
h2,H2 sanity candidate,spectral_normal_mode_information,mode_id;observable;value;units;assignment;source_id,machine_readable_spectral_table_required_later,provenance_required_before_DATA02,"May be useful for pipeline parsing, not validation."
h2,H2 sanity candidate,quantum_chemistry_outputs_if_locally_available_later,software;method;basis;matrix_type;i;j;value;units;source_id,format_depends_on_local_output,method_basis_and_input_geometry_required,Useful only as a small local-output parsing test if supplied later.
