level_id,level_name,yoneya_schild_worldsheet_side,lqg_geometry_quanta_side,qsb_pbr_formal_side,common_abstraction,allowed_statement,forbidden_statement,claim_risk
L0,ontology boundary,"String/worldsheet language is used as formal motif only.","LQG geometry-quanta language is used as formal motif only.","QSB/PBR pair-lag matrices are internal mathematical artifacts only.","No ontology transfer across frameworks.","The mapping can provide cautious vocabulary for design.","String theory, LQG, and QSB/PBR are equivalent or unified.",high
L1,primitive element,"Worldsheet point/string segment or Schild variable as contextual primitive.","Spin-network edge/puncture or flux carrier as contextual primitive.","Pair index or pair-lag relational unit c_ij as schematic primitive.","Relational primitive cell.","A QSB/PBR pair-lag cell may be modeled as a formal relational carrier.","QSB/PBR pairs are physical spin-network punctures or string bits.",high
L2,relational carrier,"Worldsheet relation or area element between embedded coordinates.","Graph/edge/puncture relation contributing to geometric operator.","Pair-lag class membership and pair incidence.","Relational carrier of area-like contribution.","The carrier analogy can guide artifact definitions.","The carriers have the same physics.",high
L3,area/geometry-like quantity,"Schild/worldsheet area motif and space-time uncertainty scale.","LQG area/volume operator motif and geometry quanta.","Lag-class cell weights or class cardinalities treated as area-like bookkeeping.","Area-like formal quantity.","Area-like means formal relational measure, not physical area.","QSB/PBR computes physical area quanta.",high
L4,operator construction,"Matrix/operator reformulation and optional Poisson/Nambu context.","Holonomy/flux and area-operator language as external context.","P_l class projector and schematic K_area_like=sum_l w_l P_l.","Relational area-like operator.","K_area_like is a design placeholder requiring alignment with documented PBR construction.","K_area_like is already a verified geometry operator.",medium
L5,spectrum/diagnostic,"Mode/spectrum language in string/QFT context.","Discrete spectra of geometric operators as literature motif.","Spec(K), rank, PSD status, nullspace dimension, class coherence.","Spectrum/readout of a formal operator.","Spectral diagnostics may guide lag-class sufficiency design.","The observed spectrum is physically geometric.",high
L6,invariance/reparametrization,"Reparametrization and gauge-like caution in worldsheet/operator language.","Diffeomorphism/gauge/contextual invariance motifs.","Lag-preserving shuffle, label invariance, order sensitivity controls.","Invariance or construction-equivariance check.","Invariance checks can be designed formally.","Lag-preserving behavior proves physical symmetry.",medium
L7,scale parameter / cutoff,"Space-time uncertainty and scale coupling motif.","Planck-regime and geometry-quanta scale context.","Weights w_l, lag scale, scale mapping beta_B/Xi_CS as gate variables only.","Formal scale gate.","Scale parameters can structure design hypotheses.","Scale parameters are confirmed observables.",high
L8,QSB/PBR test-design implication,"Worldsheet/operator motifs suggest area/operator design questions.","LQG operator motifs suggest projector/spectrum design questions.","Lag-class sufficiency and operator/symmetry design are next formal paths.","Design implication only.","The mapping can feed future design runs.","The mapping authorizes mechanism tests now.",medium
L9,claim boundary,"No claim that Yoneya/Schild proves QSB/PBR.","No claim that LQG proves QSB/PBR.","No claim that QSB/PBR realizes string theory or LQG physically.","Formal analogy and design vocabulary only.","mechanism_search_status=mapping_design_only_no_mechanism_claim.","physical mechanism claim released.",high
