candidate_id,candidate_label,proxy_id,possible_K_proxy_definition,geometry_smuggling_risk,risk_reason,preflight_assessment,local_neighborhood_noise_risk
c60,C60 fullerene,coordinate_distance_kernel,K_ij = f(distance_ij) from structural coordinates.,high,Directly re-encodes target geometry.,hold_as_reference_control_only,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
c60,C60 fullerene,bond_graph_adjacency_or_laplacian,"K_ij from molecular graph adjacency, bond order, or graph Laplacian.",high,Topology can already encode the geometry to be recovered.,hold_as_control_or_pipeline_sanity_only,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
c60,C60 fullerene,normal_mode_correlation_or_coupling,K_ij from vibrational mode displacement correlations or coupling-like quantities.,medium,May still depend on coordinate-derived calculations; construction chain must be explicit.,candidate_for_DATA02_if_provenance_and_uncertainty_are_documented,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
c60,C60 fullerene,spectral_mode_participation_similarity,K_ij from spectral or normal-mode participation similarity.,medium,Assignment and degeneracy choices can impose structure.,candidate_for_DATA02_if_machine_readable_and_not_collapsed_to_geometry,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
c60,C60 fullerene,local_quantum_chemistry_matrix_output,K_ij from locally supplied quantum chemistry matrix-like outputs.,medium_to_high,"Computed matrices may inherit coordinate inputs; method, basis, and preprocessing must be separated.",candidate_only_if_local_outputs_and_method_metadata_are_available_later,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
benzene,Benzene / Benzol,coordinate_distance_kernel,K_ij = f(distance_ij) from structural coordinates.,high,Directly re-encodes target geometry.,hold_as_reference_control_only,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
benzene,Benzene / Benzol,bond_graph_adjacency_or_laplacian,"K_ij from molecular graph adjacency, bond order, or graph Laplacian.",high,Topology can already encode the geometry to be recovered.,hold_as_control_or_pipeline_sanity_only,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
benzene,Benzene / Benzol,normal_mode_correlation_or_coupling,K_ij from vibrational mode displacement correlations or coupling-like quantities.,medium,May still depend on coordinate-derived calculations; construction chain must be explicit.,candidate_for_DATA02_if_provenance_and_uncertainty_are_documented,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
benzene,Benzene / Benzol,spectral_mode_participation_similarity,K_ij from spectral or normal-mode participation similarity.,medium,Assignment and degeneracy choices can impose structure.,candidate_for_DATA02_if_machine_readable_and_not_collapsed_to_geometry,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
benzene,Benzene / Benzol,local_quantum_chemistry_matrix_output,K_ij from locally supplied quantum chemistry matrix-like outputs.,medium_to_high,"Computed matrices may inherit coordinate inputs; method, basis, and preprocessing must be separated.",candidate_only_if_local_outputs_and_method_metadata_are_available_later,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
h2,H2 sanity candidate,coordinate_distance_kernel,K_ij = f(distance_ij) from structural coordinates.,high,Directly re-encodes target geometry.,pipeline_sanity_only_no_geometry_recovery_interpretation,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
h2,H2 sanity candidate,bond_graph_adjacency_or_laplacian,"K_ij from molecular graph adjacency, bond order, or graph Laplacian.",high,Topology can already encode the geometry to be recovered.,pipeline_sanity_only_no_geometry_recovery_interpretation,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
h2,H2 sanity candidate,normal_mode_correlation_or_coupling,K_ij from vibrational mode displacement correlations or coupling-like quantities.,medium,May still depend on coordinate-derived calculations; construction chain must be explicit.,pipeline_sanity_only_no_geometry_recovery_interpretation,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
h2,H2 sanity candidate,spectral_mode_participation_similarity,K_ij from spectral or normal-mode participation similarity.,medium,Assignment and degeneracy choices can impose structure.,pipeline_sanity_only_no_geometry_recovery_interpretation,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
h2,H2 sanity candidate,local_quantum_chemistry_matrix_output,K_ij from locally supplied quantum chemistry matrix-like outputs.,medium_to_high,"Computed matrices may inherit coordinate inputs; method, basis, and preprocessing must be separated.",pipeline_sanity_only_no_geometry_recovery_interpretation,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02."
