binding_id,source_block,source_path,artifact_type,proxy_component,marker_name,source_column_or_section,bound_status_or_value,binding_status,support_role,limits_readout,claim_boundary,open_gap,next_action,notes
"G03B_001","BMC15","docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md","result_note","geometry_proxy_score","geometry_proxy_score","Purpose; Scope; metric list","BMC15a computes graph inventory, triangle inequality defects, embedding stress, geodesic consistency, shell growth, and local dimension proxy as geometry-like proxy diagnostics.","result_note_bound","supports_proxy_readability","Umbrella marker summarizes heterogeneous proxy components and should not be used as one physical value.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No single source column named geometry_proxy_score is bound; components must be used directly.","Use component rows G03B_002 to G03B_006 instead of an aggregate score.","Umbrella row retained as documentation context only."
"G03B_002","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_geodesic_consistency_summary.csv","summary_csv","geodesic_consistency","geodesic_consistency","graph_id;direct_reference_graph_id;pair_count;reachable_pair_count;unreachable_pair_count;unreachable_pair_fraction;mean_path_direct_ratio;median_path_direct_ratio;max_path_direct_ratio;mean_path_minus_direct;max_path_minus_direct","Source-bound geodesic proxy summary for observed graph objects; e.g. threshold_path_consensus_envelope has unreachable_pair_fraction=0.07407407407407407 and mean_path_direct_ratio=1.0199890578977377.","source_bound","supports_proxy_readability","Geodesic consistency is graph-diagnostic behavior and can depend on graph construction and reachability handling.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No synthesis-level threshold is bound in this row.","If needed, expand by graph_id in a later detail table.","Concrete BMC15 source-column binding."
"G03B_003","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_local_dimension_proxy_summary.csv","summary_csv","local_dimension_proxy","local_dimension_proxy","graph_id;center_mode;radius_type;fit_points;effective_dimension_proxy;fit_r2;interpretation_label","Source-bound local-dimension proxy; larger envelope rows include stable_proxy labels, while N81_full_baseline/top_strength_reference_core are insufficient_points.","source_bound","supports_proxy_readability","local_dimension_proxy is a shell-growth proxy and does not establish physical dimension or continuum structure.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","Scale and construction sensitivity remain open.","Keep interpretation_label attached when reusing this marker.","03B upgrades this component from 01D result_note_bound to source_bound."
"G03B_004","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_triangle_defect_summary.csv","summary_csv","triangle_defect","triangle_defect","graph_id;triangle_mode;node_count;triangle_count;violation_count;violation_fraction;mean_violation;max_violation;mean_relative_violation;max_relative_violation","Source-bound triangle-defect summary; observed rows shown have violation_fraction=0.0 and max_violation=0.0 under tested proxy-distance modes.","source_bound","supports_proxy_readability","triangle_defect is a graph/proxy diagnostic; shortest-path-completed mode is partly tautological and should not be overinterpreted.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No physical curvature or spacetime metric follows from zero proxy defects.","Keep triangle_mode explicit in downstream summaries.","03B upgrades this component from 01D result_note_bound to source_bound."
"G03B_005","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_embedding_summary.csv","summary_csv","geometry_proxy_score","embedding_stress","graph_id;distance_mode;embedding_dimension;node_count;stress_raw;stress_normalized;negative_eigenvalue_count;negative_eigenvalue_fraction;negative_to_positive_abs_ratio","Embedding-stress and eigenvalue-burden proxy fields are source-bound; N81_full_baseline has stress_normalized values 0.1069313343129772, 0.06299883809261382, 0.060628618390354 across 2D/3D/4D rows.","source_bound","supports_proxy_readability","Embedding compatibility is a proxy component, not recovered physical geometry or a physical metric.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","Embedding interpretation depends on distance mode, graph object, and dimension choice.","Preserve embedding_dimension and distance_mode in later reuse.","Mapped under geometry_proxy_score because embedding_stress is not one of the requested proxy_component enum values."
"G03B_006","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_graph_inventory.csv","summary_csv","geometry_proxy_score","mean_proxy_distance","graph_id;source;method_id;edge_count;node_count;component_count;largest_component_size;mean_weight;mean_proxy_distance;min_proxy_distance;max_proxy_distance","Graph inventory binds mean_proxy_distance and graph-object context for N81_full_baseline, top_strength_reference_core, maximum_spanning_tree_envelope, mutual_kNN_k3_envelope, and threshold_path_consensus_envelope.","source_bound","supports_proxy_readability","Inventory fields describe graph objects and proxy distances only; fragmented cores are limited for standalone geometry-proxy interpretation.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No single inventory field establishes geometry-proxy specificity.","Use graph_id/method_id context when citing component metrics.","Source-bound context row for graph-object definitions."
"G03B_007","BMC15b","runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_observed_vs_null_distribution_summary_refined.csv","summary_csv_refined","geometry_proxy_score","observed_vs_null_proxy_distribution","null_model_id;graph_id;metric_group;metric;observed_value;null_median;null_q05;null_q95;null_family_group;interpretation_label_refined","Refined observed-vs-null proxy distribution binds component metrics and null-family groups; all-zero triangle ties are refined to observed_null_equivalent.","source_bound","control_context","BMC15b is mixed: observed objects can be more favorable than graph-rewire nulls while feature-structured nulls often produce similar proxy values.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","Observed threshold-path consensus envelope was not part of first null comparison.","Use refined file rather than original label artifact for downstream binding.","Componentized null comparison; no aggregate physical geometry claim."
"G03B_008","BMC15b","runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_observed_vs_null_distribution_summary_refined.csv","summary_csv_refined","triangle_defect","triangle_defect_null_position","metric_group=triangle;metric=violation_fraction/max_violation;observed_value;null_median;interpretation_label_refined;triangle_mode_refined","Refined triangle rows bind all-zero equivalence and graph-rewire comparison rows; labels are proxy-null positions only.","source_bound","bounds_proxy_readability","Triangle-defect null comparison is partly sensitive to tie handling and source summary lacks explicit triangle_mode in some rows.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","triangle_mode_refined is not_recorded_in_source_summary for selected refined rows.","Keep refined label and tie-handling note attached.","Avoid old unrefined all-zero less-geometry-like labels."
"G03B_009","BMC15b","runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_null_geodesic_consistency_summary.csv","summary_csv","geodesic_consistency","null_geodesic_consistency","replicate_id;null_model_id;null_family;graph_id;pair_count;reachable_pair_count;unreachable_pair_count;unreachable_pair_fraction;mean_path_direct_ratio;generation_status","Null geodesic consistency rows are source-bound for null graph objects and families.","source_bound","control_context","Null geodesic rows provide control context, not observed physical geodesics.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","Observed-vs-null interpretation should use refined distribution summary when available.","Use with G03B_007 refined labels for interpretation.","Raw null replicate table."
"G03B_010","BMC15b","runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_null_local_dimension_proxy_summary.csv","summary_csv","local_dimension_proxy","null_local_dimension_proxy","replicate_id;null_model_id;null_family;graph_id;fit_points;effective_dimension_proxy;fit_r2;interpretation_label;generation_status","Null local-dimension proxy rows are source-bound, including stable_proxy and insufficient_points labels for null graph objects.","source_bound","control_context","Null-family local-dimension behavior can resemble observed proxy behavior; this bounds specificity.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No continuum dimension is established.","Keep interpretation_label and null_family attached.","Raw null replicate table for local dimension proxy."
