risk_id,risk_name,description,future_control,severity,claim_boundary
R01,matrix_rule_tautology,"Matrix rule itself may enforce target structure.","Arm G matrix-rule tautology screen.",high,"No mechanism claim from rule-only structure."
R02,class_projector_triviality,"P_l may only encode class membership with no nontrivial operator content.","Arm H projector algebra check.",medium,"Projector notation is not evidence."
R03,partition_cardinality_artifact,"Same cardinalities may reproduce the structure.","Arm C equal-cardinality non-lag partitions.",high,"No lag specificity without cardinality controls."
R04,class_count_artifact,"Same number of classes may drive the structure.","Arm D different-cardinality partitions.",medium,"No class-count-only claim."
R05,index_order_leakage,"Index or construction order may create apparent structure.","Arm I pipeline-order handoff.",high,"No physical non-commutativity claim."
R06,lag_alias_leakage,"Lag labels may leak values rather than memberships.","Arm E label permutation and explicit construction audit.",medium,"No lag-value claim without audit."
R07,diagonal_policy_artifact,"Diagonal handling may create rank/PSD effects.","Arm A source policy and Arm G degenerate controls.",medium,"No PSD interpretation without diagonal policy."
R08,symmetry_constraint_artifact,"Pair symmetry constraints may drive structure.","Arm C/D controls preserving pair constraints.",medium,"No specificity claim without symmetry controls."
R09,pipeline_order_dependency,"Structure may be born in pair->lag->kernel pipeline.","Arm I handoff to Structure-Birth Audit.",high,"No mechanism claim from pipeline sensitivity."
R10,metric_selection_bias,"Chosen metrics may favor expected result.","Predeclare target metrics and thresholds before execution.",medium,"No post-hoc metric selection."
R11,random_seed_instability,"Random controls may be seed-sensitive.","Predeclare seed plan and stability checks.",medium,"No cherry-picked random partitions."
R12,post_hoc_interpretation,"Interpretation may be fitted after results.","Decision tree and stop rules fixed before execution.",medium,"No retroactive validation claim."
R13,area_language_overclaim,"Relational area-like vocabulary may imply physical area.","Use mapping alignment boundaries.",high,"No physical area operator claim."
R14,geometry_quanta_overclaim,"LQG language may be overread into QSB/PBR pairs.","Use claim boundaries from mapping run.",high,"QSB/PBR pairs are not geometry quanta."
R15,physical_storytelling,"Results may be narrated as physics beyond evidence.","Claim boundary review before any result note.",high,"physical_claim_release=blocked_no_physics_claim"
