record_id,axis_planck_scale,axis_qft_curved_spacetime,axis_emergence,axis_loop_quantum_gravity,axis_asymptotic_safety,axis_string_theory,axis_holography,axis_matrix_operator,axis_uncertainty_scale_coupling,axis_area_geometry,axis_resonator_spectral,axis_other,mechanism_brainstorming_use,claim_safety_note
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,strong,none,strong,strong,strong,none,none,none,medium,strong,none,none,core_background,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
birrell_davies1982_quantum_fields_curved_space,none,strong,weak,none,none,none,none,none,none,medium,strong,medium,pluralistic_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
bombelli_lee_meyer_sorkin1987_causal_set,none,none,strong,none,none,none,none,none,none,none,none,medium,emergence_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
devega1993_strings_curved_spacetimes,none,strong,weak,none,none,strong,none,none,none,medium,strong,medium,pluralistic_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
devega_sanchez1987_string_quantization_curved,none,strong,weak,none,none,strong,none,none,none,strong,strong,none,pluralistic_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
devega_sanchez1995_lectures_string_curved_spacetimes,none,strong,weak,none,none,strong,none,none,none,medium,strong,none,pluralistic_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
garay1995_quantum_gravity_minimum_length,strong,none,none,none,none,none,none,none,strong,none,none,none,core_background,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
hollands_wald2015_qft_curved_spacetime,none,strong,weak,none,none,none,none,none,none,medium,medium,none,pluralistic_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
hossenfelder2013_minimal_length_scenarios,strong,none,none,none,none,none,none,none,strong,none,none,none,core_background,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
jacobson1995_thermodynamics_spacetime,none,none,strong,none,none,none,none,none,none,none,none,medium,emergence_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
mead1964_fundamental_length,strong,none,none,none,none,none,none,none,strong,none,none,none,core_background,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
rovelli_smolin1995_spin_networks_quantum_gravity,strong,none,strong,strong,none,none,none,medium,none,strong,none,none,operator_geometry_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
ryu_takayanagi2006_holographic_entanglement_entropy,none,none,strong,none,none,none,strong,none,none,strong,none,none,emergence_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
swingle2012_holographic_spacetimes_entanglement_renormalization,none,none,strong,none,none,none,strong,medium,none,strong,none,none,operator_geometry_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
vanraamsdonk2010_spacetime_entanglement,none,none,strong,none,none,none,strong,none,none,strong,none,none,emergence_context,Literature context only; not internal QSB/PBR evidence; no candidate upgrade; physical_claim_release=blocked_no_physics_claim.
