record_id,title,claim_status,physical_claim_release,allowed_claim,forbidden_claim,review_status,scout_boundary
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,From General Relativity to Quantum Gravity,motivational_reference_only,blocked_no_physics_claim,"The source can be cited as a motivational overview reference for dynamic quantum geometry, Planck-regime short-distance structure, and suitable-limit recovery of classical GR.","The source must not be used as evidence for the existence of Planck-Bridge-Resonators, for QSB as a confirmed theory, or for beta_B/Xi_CS as physical observables.",registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
birrell_davies1982_quantum_fields_curved_space,Quantum Fields in Curved Space,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
bombelli_lee_meyer_sorkin1987_causal_set,Space-Time as a Causal Set,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
devega1993_strings_curved_spacetimes,Strings in Curved Spacetimes,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
devega_sanchez1987_string_quantization_curved,A New Approach to String Quantization in Curved Spacetimes,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
devega_sanchez1995_lectures_string_curved_spacetimes,Lectures on String Theory in Curved Spacetimes,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
garay1995_quantum_gravity_minimum_length,Quantum Gravity and Minimum Length,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
hollands_wald2015_qft_curved_spacetime,Quantum Fields in Curved Spacetime,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
hossenfelder2013_minimal_length_scenarios,Minimal Length Scale Scenarios for Quantum Gravity,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
jacobson1995_thermodynamics_spacetime,Thermodynamics of Spacetime: The Einstein Equation of State,motivational_reference_only,blocked_no_physics_claim,Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.,Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.,registered_requires_human_literature_review,Literature is external/motivational context only and is not internal evidence for QSB/PBR.
