essential_field,contract_section,human_review_decision,evidence_confidence,execution_01A_impact,required_action
source_code_artifact_path,C1_source_and_lineage,accepted,high,required_pass,preserve
source_code_artifact_sha256,C1_source_and_lineage,accepted,high,required_pass,preserve
K_candidate_export_path,C1_source_and_lineage,accepted,high,required_pass,preserve
K_candidate_export_sha256,C1_source_and_lineage,accepted,high,required_pass,preserve
input_pair_table_path,C2_input_tables_and_identity,accepted_with_note,medium,required_pass_after_patch,export_or_pin_direct_input_identity
pair_identifier_columns,C2_input_tables_and_identity,accepted,high,required_pass,preserve
endpoint_columns,C2_input_tables_and_identity,accepted,high,required_pass,preserve
lag_class_column,C4_lag_policy,requires_source_patch,none,blocks_01A,define_lag_handoff
pair_policy,C3_pair_and_diagonal_policy,accepted,high,required_pass,preserve
pair_symmetry_policy,C3_pair_and_diagonal_policy,accepted_with_note,medium,required_pass_after_patch,document_in_patch_contract
diagonal_policy,C3_pair_and_diagonal_policy,accepted_with_note,medium,required_pass_after_patch,document_in_patch_contract
zero_diagonal_policy,C3_pair_and_diagonal_policy,not_applicable,high,not_applicable,none
lag_class_definition,C4_lag_policy,requires_source_patch,none,blocks_01A,define_lag_handoff
lag_sort_order,C4_lag_policy,requires_source_patch,none,blocks_01A,define_lag_handoff
matrix_shape_rule,C5_matrix_construction_rule,accepted,high,required_pass,preserve
matrix_index_order_rule,C5_matrix_construction_rule,accepted,high,required_pass,preserve
matrix_entry_formula_or_callable,C5_matrix_construction_rule,accepted,high,required_pass_after_patch,preserve_formula_but_add_callable
weighting_rule,C5_matrix_construction_rule,accepted,high,required_pass,preserve
normalization_rule,C5_matrix_construction_rule,accepted,high,required_pass,preserve
aggregation_rule,C5_matrix_construction_rule,accepted_with_note,medium,required_pass_after_patch,document_in_source_patch
symmetrization_rule,C5_matrix_construction_rule,accepted_with_note,medium,required_pass_after_patch,document_in_source_patch
missing_value_policy,C5_matrix_construction_rule,requires_source_patch,none,blocks_01A,define_policy_in_source_patch
PSD_check_rule,C6_numerical_and_validation_policy,accepted,high,required_pass,preserve
rank_check_rule,C6_numerical_and_validation_policy,requires_source_patch,none,blocks_01A,define_rank_policy
eigenvalue_threshold_policy,C6_numerical_and_validation_policy,requires_contract_revision,medium,blocks_01A,revise_validation_policy
numerical_rank_threshold,C6_numerical_and_validation_policy,requires_source_patch,none,blocks_01A,define_rank_policy
baseline_validation_rule,C6_numerical_and_validation_policy,accepted,high,required_pass,preserve
expected_output_hash_or_similarity_rule,C6_numerical_and_validation_policy,accepted_with_note,medium,required_pass_after_patch,confirm_in_patch_validation
equal_cardinality_partition_eligibility,C7_randomization_and_controls_eligibility,requires_contract_revision,low,blocks_01A,revise_controls_contract
random_seed_policy,C7_randomization_and_controls_eligibility,requires_source_patch,none,blocks_01A,define_seed_policy
trial_count_policy,C7_randomization_and_controls_eligibility,requires_source_patch,none,blocks_01A,define_trial_policy
reconstruction_script_or_function,C8_reconstruction_command_or_callable,requires_source_patch,none,blocks_01A,create_callable_contract
required_arguments,C8_reconstruction_command_or_callable,requires_source_patch,none,blocks_01A,define_callable_arguments
expected_outputs,C8_reconstruction_command_or_callable,requires_source_patch,medium,blocks_01A,define_callable_outputs
validation_command,C8_reconstruction_command_or_callable,requires_source_patch,none,blocks_01A,define_validation_command

