bubble_id,bubble_name,testability_class,claim_risk,reason,allowed_use,blocked_use
B01,Raumzeit-Unschaerfe / Skalenkopplung,B_formalizable_but_needs_design,medium,"Requires formal scale-gate design before testing.","Design vocabulary for lag-class sufficiency.","No claim of physical space-time uncertainty in QSB/PBR."
B02,Schild Action / Flaechenquantum / Worldsheet,B_formalizable_but_needs_design,medium,"Area-like carriers need explicit artifact definition.","Structure-birth audit hypothesis.","No worldsheet/area physics claim."
B03,Matrix / Large-N / Operatorstruktur,B_formalizable_but_needs_design,low,"Operator invariance can be formalized with current-style artifacts but needs design.","Operator/symmetry analysis design.","No claim that matrices are physical operators."
B04,Nambu Brackets / Higher Gauge / Mehrfachrelationen,C_contextual_heuristic_only,high,"No current formal relation-algebra design exists.","Heuristic for multi-relation brainstorming.","No higher-gauge claim."
B05,Dualitaet / Holographie / Reparametrisierungs-Invarianz,B_formalizable_but_needs_design,medium,"Invariance checks are formalizable; holography wording is risky.","Label/reparametrization audit language.","No holographic QSB/PBR claim."
B06,Nicht-Kommutativitaet / Reihenfolge der Operationen,A_immediately_testable_in_current_artifacts,medium,"Order and replay sensitivity can be audited in existing artifact lineage if designed carefully.","Structure-birth/replay-order audit.","No physical noncommutativity claim."
B07,Spektrum / Resonator / Eigenstruktur,A_immediately_testable_in_current_artifacts,low,"Rank/PSD/spectral summaries already exist as formal diagnostics.","Lag-class sufficiency spectral diagnostics.","No physical resonator claim."
B08,Loop Quantum Geometry / Geometriequanten,C_contextual_heuristic_only,medium,"External geometry-quanta analogy only.","Context for carrier audits.","No LQG evidence claim."
B09,Asymptotic Safety / Scale Flow,B_formalizable_but_needs_design,medium,"Scale transforms need separate design.","Coarse-graining robustness language.","No asymptotic-safety claim."
B10,QFT in Curved Spacetime / Semiclassical Boundary,C_contextual_heuristic_only,medium,"Useful caution about mode/background dependence.","Spectral-basis warning context.","No semiclassical boundary claim."
B11,Emergence Programs / Spacetime-from-Collective-Variables,B_formalizable_but_needs_design,high,"Collective-variable audits can be designed; emergence wording must be quarantined.","Structure-birth audit framing.","No spacetime emergence claim."
B12,Black-Hole / Horizon Thermodynamics,X_claim_risk_or_too_speculative,high,"Risky analogy without formal QSB/PBR bridge.","Contextual caution only.","No horizon/black-hole thermodynamics claim."
B13,Planck Boundary / Planck Scale Cutoff,B_formalizable_but_needs_design,medium,"Planck boundary can be a formal gate but not evidence.","Scale-gate vocabulary.","No Planck-scale physics release."
B14,Scale Mapping / Compton-Schwarzschild Bridge,B_formalizable_but_needs_design,high,"Internal note is explicitly a gate marker, not proof.","Dimensionless boundary variables for design.","No beta_B/Xi_CS observable claim."
