concept_id,concept_name,formula_or_symbol,human_reading,role_in_bridge,current_support_status,required_boundary,forbidden_overclaim,next_research_move,notes
"M01_state","State / modeled unit","psi_i; psi_j","A state or modeled unit that can enter a relational comparison.","Provides the endpoints for overlap, correlation, and graph-node interpretations.","conceptual_anchor","States are modeling objects in this note; no physical ontology claim follows.","States are proven spacetime atoms; QSB is proven.","Keep state notation tied to explicit model context in later notes.","Used as the starting point for the human-readable bridge."
"M02_correlation_overlap","Correlation / overlap object","K_ij = <psi_i | psi_j>","An overlap or correlation object between two states, read as relation strength.","Provides the relational input from which distance-like readings can be constructed.","conceptual_anchor","K_ij is a relation-strength object here; it is not by itself physical geometry or a physical metric.","K_ij proves spacetime emergence; K_ij is a reconstructed physical geometry.","Bind any later use of K_ij to explicit source, normalization, and interpretation choices.","Required formula row for the overlap object."
"M03_correlation_magnitude","Correlation magnitude","|K_ij|","The magnitude of the overlap/correlation, used by the simple distance-like readout.","Separates correlation strength from phase in the current distance-like construction.","conceptual_anchor","Magnitude-based distance readout does not deny phase information; phase remains relevant for interference or dynamics.","Taking |K_ij| proves phase is irrelevant; magnitude alone reconstructs physical spacetime.","If phase-sensitive diagnostics are used later, document them separately from this simple readout.","Keeps phase/magnitude separation explicit."
"M04_distance_like_reading","Distance-like reading","d_ij = -l0 * log(|K_ij|)","A distance-like quantity constructed from correlation strength: strong correlation gives small distance, weak correlation gives larger distance.","Turns relational strength into a distance-like graph or bridge-readable quantity.","conceptual_anchor","d_ij is a relational distance construction here, not a completed physical spacetime metric.","A physical metric has been recovered; physical geometry is reconstructed; causal structure has been derived.","Specify scale, normalization, and domain assumptions before any stronger later use.","Required formula row for the distance-like readout."
"M05_logarithmic_transform","Logarithmic transform","-log(|K_ij|)","A transform that can turn multiplicative correlation structure into additive distance-like quantities.","Supports path-like or graph-readable distance intuition without making a physical metric claim.","conceptual_anchor","The logarithmic transform is a mathematical bridge intuition, not proof of physical geometry.","The log transform proves emergent spacetime; additivity establishes causal structure.","Document when multiplicative assumptions are actually present in later source-bound work.","Explains why the logarithm matters."
"M06_phase_separation","Phase separation","phase(K_ij) separated from |K_ij|","The simple distance-like readout uses magnitude while phase information remains conceptually available for other questions.","Prevents the magnitude readout from being mistaken for a full description of the quantum relation.","boundary_only","Phase is not denied; it is not directly encoded in this simple d_ij readout.","Phase is irrelevant; the magnitude-only readout is complete physics.","Any later phase-sensitive bridge claim needs its own bounded artifact and claim boundary.","Boundary row for phase handling."
"M07_graph_nodes_edges","Graph nodes and edges","nodes; edges; weights","Nodes can represent states or modeled units; edges can represent relations, correlations, or weights.","Gives a concrete inspection layer for relational structure and graph diagnostics.","documentation_supported","Graph representation is an inspection framework, not physical spacetime by itself.","The graph is physical spacetime; graph edges are proven physical distances.","Keep node, edge, and weight definitions explicit in later graph-diagnostic notes.","Connects mathematical anchor to graph interpretation."
"M08_geometry_proxy","Geometry proxy","geometry_proxy; graph-diagnostic proxy behavior","Geometry proxy means graph-diagnostic proxy behavior that can be geometry-like, but remains proxy language.","Allows geometry-like graph diagnostics to be documented without claiming physical geometry.","proxy_supported_with_boundary","Geometry proxy is proxy, not physical geometry; no metric reconstruction, causal structure, or spacetime emergence follows.","Physical geometry is reconstructed; a physical metric has been recovered; causal structure is shown.","Source-bind remaining geometry-proxy components while preserving proxy status.","Explicitly protects the geometry-proxy boundary."
"M09_bridge_synthesis_map","Bridge synthesis map","01A-01G; 02A-02C","A methodical map that organizes diagnostic, gate, proxy, null-boundary, replay-ladder, control-extension, and gap-register structures.","Connects the mathematical anchor to the current documentation synthesis.","documentation_supported","The map is methodological and documentation-level; it is not a physical proof chain.","The integrated bridge map is a physical thesis; QSB is proven.","Use 02A/02B/02C boundaries whenever this map is reused.","Represents the current synthesis context."
"M10_current_result_boundary","Current result boundary","Claim Boundary","The current result is methodical: visible structures can be documented, but no physical proof follows.","Keeps the mathematical bridge explanation aligned with the conservative synthesis status.","boundary_only","Current result is methodical, not physical proof; no spacetime emergence, metric reconstruction, or global non-genericity follows.","Spacetime emergence is shown; global non-genericity is established; final physical theory is achieved.","Carry this boundary into any later public, internal, or mathematical summary.","Top-level boundary row for 02E."
