candidate_id,candidate_label,source_type,ground_truth_geometry,independent_input_candidate,data_availability_status,machine_readable_format_status,provenance_status,geometry_smuggling_risk,phase_information_availability,local_neighborhood_noise_risk,go_no_go_recommendation_for_DATA02
c60,C60 fullerene,structural_coordinates,"3D coordinates, fullerene cage topology, bond lengths, and symmetry as reference geometry only.",reference_or_control_only,not_downloaded_preflight_only,known_possible_formats_xyz_sdf_mol_cif_required_later,provenance_required_before_DATA02,high,none,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",hold_as_reference_or_control_only
c60,C60 fullerene,molecular_graph_bonding_adjacency,"3D coordinates, fullerene cage topology, bond lengths, and symmetry as reference geometry only.",reference_or_control_only,not_downloaded_preflight_only,known_possible_formats_edge_csv_sdf_mol_required_later,provenance_required_before_DATA02,high,none,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",hold_as_reference_or_control_only
c60,C60 fullerene,vibrational_frequencies_and_modes,"3D coordinates, fullerene cage topology, bond lengths, and symmetry as reference geometry only.",yes,not_downloaded_preflight_only,machine_readable_modes_required_later,provenance_required_before_DATA02,medium,mode_phase_or_sign_convention_unclear,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",possible_DATA02_candidate_if_local_machine_readable_provenance_is_supplied
c60,C60 fullerene,spectral_normal_mode_information,"3D coordinates, fullerene cage topology, bond lengths, and symmetry as reference geometry only.",yes,not_downloaded_preflight_only,machine_readable_spectral_table_required_later,provenance_required_before_DATA02,medium,phase_or_modal_sign_convention_unclear,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",possible_DATA02_candidate_if_local_machine_readable_provenance_is_supplied
c60,C60 fullerene,quantum_chemistry_outputs_if_locally_available_later,"3D coordinates, fullerene cage topology, bond lengths, and symmetry as reference geometry only.",yes,local_files_required_later,format_depends_on_local_output,method_basis_and_input_geometry_required,medium_to_high,complex_phase_availability_unknown,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",possible_DATA02_candidate_if_local_machine_readable_provenance_is_supplied
benzene,Benzene / Benzol,structural_coordinates,"Planar hexagonal molecular geometry, bonding topology, and D6h-like symmetry as reference geometry only.",reference_or_control_only,not_downloaded_preflight_only,known_possible_formats_xyz_sdf_mol_required_later,provenance_required_before_DATA02,high,none,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",hold_as_reference_or_control_only
benzene,Benzene / Benzol,molecular_graph_bonding_adjacency,"Planar hexagonal molecular geometry, bonding topology, and D6h-like symmetry as reference geometry only.",reference_or_control_only,not_downloaded_preflight_only,known_possible_formats_edge_csv_sdf_mol_required_later,provenance_required_before_DATA02,high,none,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",hold_as_reference_or_control_only
benzene,Benzene / Benzol,vibrational_frequencies_and_modes,"Planar hexagonal molecular geometry, bonding topology, and D6h-like symmetry as reference geometry only.",yes,not_downloaded_preflight_only,machine_readable_modes_required_later,provenance_required_before_DATA02,medium,mode_phase_or_sign_convention_unclear,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",possible_DATA02_candidate_if_local_machine_readable_provenance_is_supplied
benzene,Benzene / Benzol,spectral_normal_mode_information,"Planar hexagonal molecular geometry, bonding topology, and D6h-like symmetry as reference geometry only.",yes,not_downloaded_preflight_only,machine_readable_spectral_table_required_later,provenance_required_before_DATA02,medium,phase_or_modal_sign_convention_unclear,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",possible_DATA02_candidate_if_local_machine_readable_provenance_is_supplied
benzene,Benzene / Benzol,quantum_chemistry_outputs_if_locally_available_later,"Planar hexagonal molecular geometry, bonding topology, and D6h-like symmetry as reference geometry only.",yes,local_files_required_later,format_depends_on_local_output,method_basis_and_input_geometry_required,medium_to_high,complex_phase_availability_unknown,"Local-neighborhood diagnostics showed sensitivity under small additive magnitude noise, with the first configured warning at noise level 0.02.",possible_DATA02_candidate_if_local_machine_readable_provenance_is_supplied
