column_name,found_in_path,line_number,excerpt,source_type,assessment
pair_a,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",artifact,artifact_column_presence
pair_a,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,10,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",context,context_trace
pair_a,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,146,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}: edge_parse_ok=False; continue",context,context_trace
pair_a,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,147,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]]; value=float(row[""edge_candidate_flag""]); edge_matrix[i,j]=value; edge_matrix[j,i]=value",context,context_trace
pair_a,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,148,"if value==1: accepted.add(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",context,context_trace
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,151,"is_accepted=raw in accepted_tokens and row.get(""pair_a"") in idx and row.get(""pair_b"") in idx",context,context_trace
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,153,"key=""--"".join(sorted((row.get(""pair_a"",""""),row.get(""pair_b"",""""))))",context,context_trace
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,154,"parse_rows.append({""edge_row_id"":row_id,""endpoint_a"":row.get(""pair_a""),""endpoint_b"":row.get(""pair_b""),",context,context_trace
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,158,"a,b=sorted((row[""pair_a""],row[""pair_b""]));accepted.add((a,b));i,j=idx[a],idx[b];edge_matrix[i,j]=edge_matrix[j,i]=1",context,context_trace
pair_a,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",direct_generator,direct_column_contract
