marker_name,source_block_id,source_path,source_column_or_section,binding_status,bridge_property,known_failure_mode,interpretation_limit,evidence_weight,open_gap,next_action,notes
"geometry_proxy_score","BMC15","docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md","Result Note Purpose and Scope; 01A primary_marker","result_note_bound","geometry_proxy_compatibility","May summarize heterogeneous proxy components","Not direct evidence of physical geometry or spacetime emergence","result_note_bound","No single source column named geometry_proxy_score is bound here.","Bind component columns rather than relying on aggregate label.","Proxy umbrella marker."
"geodesic_consistency","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_geodesic_consistency_summary.csv","mean_path_direct_ratio;median_path_direct_ratio;max_path_direct_ratio;unreachable_pair_fraction","bound","geodesic_proxy_behavior","Can depend on graph construction and reachability","Geodesic proxy only; not physical metric reconstruction","source_bound","No synthesis-level threshold is bound.","Bind row-level graph_id if later needed.","Concrete source-column binding."
"local_dimension_proxy","BMC15","docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md","Result Note metric list: local dimension proxy","result_note_bound","geometry_proxy_compatibility","May be construction- and scale-sensitive","Proxy diagnostic only; no continuum dimension claim","result_note_bound","Concrete source CSV column not bound in 01D.","Bind BMC15 local dimension summary columns later.","Result-note section binding."
"triangle_defect","BMC15","docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md","Result Note metric list: triangle inequality defects","result_note_bound","geometry_proxy_compatibility","May reflect graph metric definition rather than geometry","Proxy diagnostic only; no physical geometry claim","result_note_bound","Concrete triangle summary columns not bound in 01D.","Bind BMC15 triangle defect summary columns later.","Result-note section binding."
"geometry_proxy_score","BMC15b","runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_observed_vs_null_distribution_summary.csv","metric_group;metric;observed_value;null_mean;interpretation_label","bound","geometry_proxy_null_specificity","Null-family behavior can be mixed","Null comparison only; no physical geometry claim","source_bound","Aggregate score remains componentized by metric_group/metric.","Use metric_group and metric, not a single score, in later synthesis.","Observed-vs-null source binding."
"geometry_proxy_score","BMC15e","docs/BMC15E_GEOMETRY_CONTROL_NULLS_RESULT_NOTE.md","Result Note Purpose; geometry_control_metrics.csv; observed_position_summary.csv","result_note_bound","geometry_proxy_control_position","Geometry-generated controls can be overread as physical geometry","Does not establish spacetime emergence, causal structure, continuum structure, or physical metric","result_note_bound","Specific BMC15e metric columns not bound in 01D.","Bind geometry_control_metrics.csv and observed_position_summary.csv columns later.","Control-position binding from result note."
"envelope_core_containment","BMC15h","runs/BMC-15h/structured_specificity_extension_open/bmc15h_real_vs_null_summary.csv","metric_name=envelope_core_edge_containment/envelope_core_node_containment;real_value;null_mean;interpretation_label","bound","structured_specificity_of_core_envelope_behavior","Can be reproduced by some null or construction families","Structured-null diagnostic only; not proof of specificity or spacetime emergence","source_bound","Metric aliases differ from 01A umbrella marker envelope_core_containment.","Normalize edge/node containment naming later.","Concrete BMC15h source binding."
"core_edge_containment","BMC14d","runs/BMC-14d/covariance_structured_null_controls_open/bmc14d_null_distribution_summary.csv","metric=observed_core_shared_edges;observed_core_recovery_fraction;null_model_id;null_family","bound","core_specificity_under_covariance_controls","Correlation/covariance controls can be overread without family boundaries","Graph-method diagnostic object only; no causal or physical spacetime interpretation","source_bound","core_edge_containment is represented by shared-edge/recovery metrics, not an exact column name.","Keep metric mapping explicit in later tables.","Covariance null source binding."
"core_edge_containment","BMC14e","runs/BMC-14e/degree_copula_structured_nulls_open/bmc14e_null_distribution_summary.csv","metric=observed_core_shared_edges;observed_core_recovery_fraction;null_model_id;null_family","bound","core_specificity_under_degree_copula_controls","Degree/copula controls can be overread without family boundaries","Graph-method diagnostic object only; no global non-genericity claim","source_bound","core_edge_containment is represented by shared-edge/recovery metrics, not an exact column name.","Keep metric mapping explicit in later tables.","Degree/copula null source binding."
"weighted_clustering","uncertain","not_extracted","not_extracted","gap_marker_unbound","local_weighted_clustering_behavior","Can shift with edge count rather than structure","Not enough extraction in this inventory to bind to a specific result row","gap_only","No concrete source column found in the bounded 01D read set.","Perform narrow source-column extraction only from inventoried artifacts if needed.","Gap marker, not evidence."
"lambda2_abs","uncertain","not_extracted","not_extracted","gap_marker_unbound","spectral_connectivity_proxy","Disconnected or near-disconnected graphs can dominate interpretation","Proxy only; not a continuum or dynamics claim","gap_only","No concrete source column found in the bounded 01D read set.","Perform narrow source-column extraction only from inventoried artifacts if needed.","Gap marker, not evidence."
"chi_alpha","uncertain","not_extracted","not_extracted","gap_marker_unbound","alpha_level_or_distributional_test_marker","Can be mistaken for universal significance without family boundary","Use only with stated null family and replicate design","gap_only","No concrete chi_alpha column found in the bounded 01D read set.","Perform narrow source-column extraction only from inventoried artifacts if needed.","Gap marker, not evidence."
"rho_pos","BMC14d;BMC14e","docs/BMC14D_COVARIANCE_STRUCTURED_NULL_CONTROLS_RESULT_NOTE.md;docs/BMC14E_DEGREE_COPULA_STRUCTURED_NULLS_RESULT_NOTE.md","Result-note covariance/copula control context","conceptually_mapped_not_source_bound","positive_rank_or_association_component","Can reflect preserved marginal or rank structure rather than bridge property","Correlation component only; no causal interpretation","concept_only","No concrete rho_pos source column is bound.","Bind only if an explicit rho_pos column or section is located in inventoried artifacts.","Conceptual mapping retained as boundary."
