clue_id,clue,source_group,why_it_matters,possible_mechanism_link,artifact_or_noise_risk,how_to_test_or_quarantine,status
C01,lag-preserving shuffle 1000/1000,internal_qsb_pbr_observation,"Suggests preserved lag-class structure under shuffle conditions.","May point to construction/operator/invariance principle rather than independent variable.","Could be replay/order/index artifact.","Test in structure-birth audit with explicit order and label controls.",open_design_needed
C02,0/260 admissible independent variables,internal_qsb_pbr_observation,"Closes scalar independent-lag-variable path.","Mechanism may not be a standalone variable.","Repair-loop bias could obscure other formal structures.","Keep gate closed; redirect to lag-class sufficiency.",closed_boundary
C03,257 rejected not pair-mappable,internal_qsb_pbr_observation,"Pair-mappability failure dominates candidate set.","Suggests pair construction is central or missing source evidence remains outside current artifacts.","Could be table-shape or source-lineage limitation.","Do not repair; require separate pre-pair source design for new evidence.",closed_boundary
C04,rank/PSD/lag-class structure,internal_qsb_pbr_observation,"Existing diagnostics hint at structured matrices without candidate admissibility.","May be operator/spectral rather than variable mechanism.","Could be numerical conditioning or matrix-construction artifact.","Formalize PSD/rank invariants in lag-class sufficiency design.",open_design_needed
C05,space-time uncertainty / scale coupling,green_string_qg,"Recurring green String/QG motif.","Suggests scale-coupled constraints as language for formal gates.","High overclaim risk if mapped physically.","Use as analogy and formal design vocabulary only.",context_only
C06,Schild area element,green_string_qg,"Area/worldsheet motif links geometry and action language.","May guide area-like relation carrier audit.","Could be decorative analogy.","Keep in structure-birth design only if formal carrier exists.",context_only
C07,Matrix/operator formulation,both,"Appears in green context and DWH tensor/spin-network context.","Suggests mechanism-as-operator rather than mechanism-as-variable.","Could be implementation bookkeeping.","Design operator/symmetry analysis with label-invariance checks.",open_design_needed
C08,LQG geometry quanta,dwh_literature,"DWH supports pluralistic geometry-carrier language.","May inspire graph/adjacency/area carrier audit.","Foreign formalism analogy risk.","Use as contextual bubble, not evidence.",context_only
C09,asymptotic safety scale flow,dwh_literature,"DWH adds scale-flow and coarse-graining language.","May motivate scale-transform robustness tests.","Could be smoothing/resolution artifact.","Formalize before testing.",open_design_needed
C10,QFT curved spacetime boundary,dwh_literature,"DWH records emphasize mode/background dependence.","Warns that spectra depend on construction context.","Could encourage over-reading spectral patterns.","Use as cautionary context for spectral diagnostics.",context_only
C11,emergent spacetime programs,dwh_literature,"Multiple DWH records use emergence languages.","Useful for collective-variable hypotheses.","Very high rhetoric/claim risk.","Quarantine physical emergence wording.",quarantined_language
C12,holography / boundary-bulk duality,both,"Green and DWH sources share boundary/invariance motifs.","May guide invariance/boundary encoding checks.","Could be analogy only.","Use only in operator/symmetry design.",open_design_needed
