field_id,contract_section_or_artifact,field_name,post_patch_value_or_status,source_artifact,review_decision,evidence_confidence,blocking_reason_if_any,nonblocking_note_if_any,required_action,execution_01a_design_impact
F001,contract_field_export,source_code_artifact_path,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F002,contract_field_export,K_candidate_export_sha256,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F003,contract_field_export,input_pair_table_path,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F004,contract_field_export,pair_identifier_columns,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F005,contract_field_export,lag_class_column,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Must be resolved before any execution.",resolve_in_design_update,ready_after_nonblocking_notes
F006,contract_field_export,duplicate_pair_policy,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Explicit declaration point; not solved.",resolve_in_design_update,ready_after_nonblocking_notes
F007,contract_field_export,missing_pair_policy,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Explicit declaration point; not solved.",resolve_in_design_update,ready_after_nonblocking_notes
F008,contract_field_export,lag_class_definition,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Must be defined before execution.",resolve_in_design_update,ready_after_nonblocking_notes
F009,contract_field_export,lag_sort_order,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Sort policy must be made explicit.",resolve_in_design_update,ready_after_nonblocking_notes
F010,contract_field_export,matrix_shape_rule,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F011,contract_field_export,matrix_entry_formula_or_callable,documented_existing_evidence,contract_field_export.csv,accepted,high,none,"Formula is documented; review did not recompute K.",preserve,ready_for_design
F012,contract_field_export,missing_value_policy,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Execution blocker until resolved.",resolve_in_design_update,ready_after_nonblocking_notes
F013,contract_field_export,rank_check_rule,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Rank policy can be specified by design update.",resolve_in_design_update,ready_after_nonblocking_notes
F014,contract_field_export,eigenvalue_threshold_policy,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Threshold policy is unresolved.",resolve_in_design_update,ready_after_nonblocking_notes
F015,contract_field_export,numerical_rank_threshold,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Threshold value is unresolved.",resolve_in_design_update,ready_after_nonblocking_notes
F016,contract_field_export,expected_output_hash_or_similarity_rule,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F017,contract_field_export,equal_cardinality_partition_eligibility,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Control eligibility unresolved for execution.",resolve_in_design_update,ready_after_nonblocking_notes
F018,contract_field_export,random_seed_policy,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Seed policy blocks execution but not design update.",resolve_in_design_update,ready_after_nonblocking_notes
F019,contract_field_export,trial_count_policy,requires_human_value,contract_field_export.csv,accepted_with_note,high,none,"Trial count blocks execution but not design update.",resolve_in_design_update,ready_after_nonblocking_notes
F020,contract_field_export,reconstruction_script_or_function,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F021,contract_field_export,required_arguments,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F022,contract_field_export,validation_command,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F023,contract_field_export,claim_boundary,documented_existing_evidence,contract_field_export.csv,accepted,high,none,none,preserve,ready_for_design
F024,lag_class_handoff,lag_handoff_required_fields,requires_human_value,lag_class_handoff.csv,accepted_with_note,high,none,"Placeholder-heavy handoff must be resolved by the design update before any execution.",resolve_in_design_update,ready_after_nonblocking_notes
F025,control_policy_export,randomization_required_fields,requires_human_value,control_policy_export.csv,accepted_with_note,high,none,"Randomization controls are declaration points only.",resolve_in_design_update,ready_after_nonblocking_notes
F026,validation_summary,validation_checks,pass,validation_summary.csv,accepted,high,none,"11 checks pass; no blocking failure.",preserve,ready_for_design
F027,dry_run_manifest,hidden_state_policy,documented_existing_evidence,dry_run_manifest.json,accepted,high,none,none,preserve,ready_for_design

