gate_id,gate_name,source_artifact,required_condition,observed_condition,decision,blocking_level,failure_action,notes
G00_required_input_runs_present,Required input runs present,source_runs_used.csv,all required input runs detected,all required input runs detected,pass,blocking,none,"Inputs present."
G01_source_files_present,Source files present,repository files,implementation docs and callable present,docs and callable inspected,pass,blocking,none,"No source modification."
G02_no_working_tree_mutation_required,No working-tree mutation required,git status and commands,no source/generated mutation required,no source/generated mutation used,pass,blocking,none,"Run creates only new preflight package."
G03_contract_field_export_present,Contract field export present,contract_field_export.csv,file exists and parses,file parsed by python -m csv,pass,blocking,none,"Schema valid."
G04_lag_class_handoff_present,Lag class handoff present,lag_class_handoff.csv,file exists and parses,file parsed by python -m csv,pass,blocking,none,"Values still placeholders."
G05_control_policy_export_present,Control policy export present,control_policy_export.csv,file exists and parses,file parsed by python -m csv,pass,blocking,none,"Values still placeholders."
G06_validation_summary_present,Validation summary present,validation_summary.csv,file exists and reports validation,file inspected,pass,blocking,none,"11 checks reported pass."
G07_dry_run_manifest_present,Dry-run manifest present,dry_run_manifest.json,hidden-state manifest available,manifest and dry-run inspected,pass,blocking,none,"Explicit inputs visible."
G08_generated_artifact_schemas_valid,Generated artifact schemas valid,generated_contract CSVs,CSV parser succeeds,CSV parser succeeded,pass,blocking,none,"No schema defect found."
G09_claim_boundaries_present,Claim boundaries present,contract artifacts,claim boundary fields present,blocked claim fields present,pass,blocking,none,"Boundary preserved."
G10_execution_01a_authorized_false,Execution 01A authorization false,claim boundary,execution_01a_authorized=false,false confirmed,pass,blocking,none,"No authorization."
G11_execution_01a_executed_false,Execution 01A executed false,this preflight,no execution performed,false,pass,blocking,none,"No arms run."
G12_physical_claim_blocked,Physical claim blocked,claim boundary,blocked_no_physics_claim,blocked_no_physics_claim,pass,blocking,none,"No physical claim."
G13_mechanism_claim_blocked,Mechanism claim blocked,claim boundary,blocked_no_mechanism_claim,blocked_no_mechanism_claim,pass,blocking,none,"No mechanism claim."
G14_explicit_placeholder_gate_reviewed,Explicit placeholder gate reviewed,design_update explicit_placeholder_gate.csv,all placeholders classified,15 placeholders reviewed,pass_with_note,blocking,contract_value_review_required,"Several placeholders are blocking_for_preflight."
G15_no_implicit_placeholder_acceptance,No implicit placeholder acceptance,placeholder review,requires_human_value not treated as solved,no placeholder accepted as value,pass,blocking,none,"No inferred values."
G16_lag_class_required_values_resolved_or_blocked,Required lag values resolved or blocked,lag_class_handoff.csv,lag values declared or preflight blocks,lag fields remain requires_human_value,fail,blocking,contract_value_review_required,"Blocks preflight."
G17_random_seed_policy_resolved_or_blocked,Random seed policy resolved or blocked,control_policy_export.csv,seed declared or random controls blocked,random_seed_policy requires_human_value,fail,blocking,contract_value_review_required,"Blocks preflight for control arms."
G18_trial_count_policy_resolved_or_blocked,Trial count policy resolved or blocked,control_policy_export.csv,trial count declared or random controls blocked,trial_count_policy requires_human_value,fail,blocking,contract_value_review_required,"Blocks preflight for control arms."
G19_randomization_control_policy_resolved_or_blocked,Randomization control policy resolved or blocked,control_policy_export.csv,control policies declared or controls blocked,randomization fields require_human_value,fail,blocking,contract_value_review_required,"Blocks preflight."
G20_K_candidate_expected_hash_available,K candidate expected hash available,contract_field_export.csv,expected hash present,e1acdf0acf31e2faf68f8a517cbdbccb2f9af9e28fe974eeb01c0a7f0928754d,pass,blocking,none,"Expected hash available."
G21_K_candidate_file_present,K candidate file present,11_K_candidate_matrix.csv,file exists,file hashed by sha256sum,pass,blocking,none,"No recomputation."
G22_K_candidate_hash_matches_expected,K candidate hash matches expected,sha256sum,hash equals expected,hash matches expected,pass,blocking,none,"Identity check only."
G23_pair_basis_file_present,Pair basis file present,06_canonical_pair_basis_review.csv,file exists,file referenced and validation reported pass,pass,blocking,none,"No pair reinterpretation."
G24_pair_basis_identity_check_possible,Pair basis identity check possible,contract_field_export.csv,pair basis path and identifier fields present,path and canonical_pair_id documented,pass_with_note,nonblocking,none,"Full pair content audit deferred."
G25_hidden_state_guard_present,Hidden-state guard present,dry-run output,explicit inputs and no hidden state,explicit inputs printed,pass,blocking,none,"Dry-run only."
G26_validation_harness_available,Validation harness available,reconstruct_k_candidate.py,CLI available and py_compile passes,py_compile and help passed,pass,blocking,none,"No validate mode run to avoid mutation."
G27_validation_harness_passed_or_blocked,Validation harness passed or blocked,validation_summary.csv,reported blocking checks pass,11 checks pass in existing summary,pass_with_note,nonblocking,none,"Existing summary reviewed; no mutation."
G28_no_dwh_write_path,No DWH write path,commands run,no DWH writes,no DWH commands run,pass,blocking,none,"No database mutation."
G29_no_literature_dependency_as_evidence,No literature dependency as evidence,commands run,no literature import,no literature used,pass,blocking,none,"Internal artifacts only."
G30_original_design_arms_mapped,Original design arms mapped,updated_experiment_arm_mapping.csv,arms A-I mapped,arms A-I mapped,pass,blocking,none,"No arms executed."
G31_stop_rules_defined,Stop rules defined,updated_stop_rules.csv,stop rules present,stop rules present,pass,blocking,none,"Used for decision."
G32_future_execution_prompt_requirements_defined,Future execution prompt requirements defined,future_execution_prompt_requirements.csv,requirements present,requirements present,pass,blocking,none,"Execution still separate."
G33_go_no_go_decision_recorded,Go/no-go decision recorded,go_no_go_decision.csv,decision recorded,no_go_requires_contract_value_review,pass,blocking,none,"No-Go due contract values."
