marker_name,marker_type,bridge_property,sensitive_to,control_needed,known_failure_mode,relevant_blocks,interpretation_limit,notes
arrangement_signal,decision_marker,arrangement_response_under_perturbation,weight_shuffle;feature_source;thresholds;backbone_variant,threshold_gap_sweep;matched_edge_count;null_family_controls,Can be diagnostic-layer signal rather than structural primitive,BMC07;BMC09;BMC10;BMC11;BMC12;BMC12e;BMC12f,Does not by itself identify a physical bridge or geometry,Often appears as weighted_shell_gap_vs_weight_shuffle or arrangement_signal_score.
backbone_localization,decision_label,localization_of_arrangement_signal_to_backbone,feature_ablation;edge_count;decision_thresholds;backbone_definition,matched_leave_one_out;edgecount_neighborhood_sweep;threshold_gap_sweep,Can be threshold- or construction-dependent,BMC12;BMC12c;BMC12e;BMC12f,Supports only tested backbone-localization behavior,Use with off_backbone_localization for contrast.
off_backbone_localization,decision_label,localization_outside_backbone,backbone_definition;feature_drop;thresholds,backbone-aware matched controls;decision threshold controls,Can reflect variant choice rather than robust bridge property,BMC07d;BMC12e;BMC12f,Negative or positive status is local to configured variants,Important for avoiding over-reading backbone-only claims.
geometry_proxy_score,aggregate_proxy,geometry_proxy_compatibility,graph_construction;null_family;node_alignment;edge threshold,geometry_control_nulls;structured_nulls;node-aligned reruns,May summarize heterogeneous proxy components,BMC15;BMC15b;BMC15e;BMC15h,Not direct evidence of physical geometry or spacetime emergence,Use only as proxy umbrella unless component metric is specified.
envelope_core_containment,containment_marker,core_retention_inside_envelope,envelope construction;connectedness;node alignment,construction_sensitivity;node_aligned_controls;structured_nulls,Large envelopes may be construction-sensitive,BMC15f;BMC15f1;BMC15f2;BMC15h;BMS_IS01;BMS_ST01,Containment is graph-object behavior not physical containment,Often represented as edge and node containment fractions.
core_node_containment,containment_marker,node_level_core_retention,construction_family;node_alignment;null_family,node-aligned envelope controls;structured null controls,Can be high in nulls depending on construction,BMC15f;BMC15h;BMS_IS01;BMS_ST01,Node containment alone may ignore edge organization,Pair with core_edge_containment.
core_edge_containment,containment_marker,edge_level_core_retention,construction_family;edge_count;null_family,edge-count controls;structured null controls;construction sensitivity,Can be reproduced by core-seeded or high-density nulls,BMC14;BMC14d;BMC14e;BMC15f;BMC15h;BMS_IS01;BMS_ST01,Does not prove non-genericity without null-family boundary,Primary core-specificity marker in many summaries.
near_distance,screening_marker,coarse_near_candidate_detection,signature definition;candidate window;role coloring,exact_match;uncolored_isomorphism;face-type-preserving isomorphism;raw-order replay,near_distance=0 can occur without identity or isomorphism,BMS_FU02g4b;BMS_FU02g4c;BMS_FU02g5e1;BMS_FU02g5e2;BMS_FU02g5g;BMS_FU02g5g2,Screening measure only; not transport or exactness proof,Repeatedly flagged in notes as a claim boundary.
role_transport_allowed,transport_decision,permitted_role_transfer_between_patches,face-type-preserving isomorphism;automorphism mapping,explicit automorphy-only mapping;mapping invariance checks,False when near candidate lacks valid mapping; true only under explicit mapping,BMS_FU02g5d;BMS_FU02g5e2;BMS_FU02g5g2,Does not follow from near_distance or coarse signature alone,Conservative bridge-role transport gate.
face_type_preserving_isomorphic_to_reference,isomorphism_marker,typed_patch_equivalence,face labels;induced subgraph;candidate nodes,uncolored isomorphism plus type preservation;automorphism orbit checks,Can fail even when near_distance=0,BMS_FU02g4;BMS_FU02g5d;BMS_FU02g5e2;BMS_FU02g5g,Typed graph equivalence only; not physical identity,Required for role transport in FU02g5c/d rule.
uncolored_isomorphic_to_reference,isomorphism_marker,untyped_patch_equivalence,graph topology;candidate nodes,face-type-preserving comparison;exact node-set agreement,Can fail for coarse-signature near matches,BMS_FU02g5e2;BMS_FU02g5g;BMS_FU02g5g2,Untyped topology equivalence does not preserve role semantics,Use as intermediate gate before typed isomorphism.
node_set_agreement,certification_marker,replay_node_identity_agreement,raw index;input graph;candidate extraction,edge_set_agreement;raw-order replay;photo certification,Can be scaffold-only if original enumerator not rerun,BMS_FU02g5g;BMS_FU02g5g2,Certifies node-set agreement only within audited replay basis,Pair with edge_set_agreement and replay status.
edge_set_agreement,certification_marker,replay_edge_identity_agreement,raw index;edge parser;candidate extraction,node_set_agreement;source graph audit;raw-order replay,Can be blocked by parser/input mismatch,BMS_FU02g5g;BMS_FU02g5g2,Certifies edge-set agreement only within audited replay basis,Important for distinguishing exact patch from near screen.
weighted_shell_gap,component_marker,weighted_shell_separation_response,weight rule;shell definition;feature source,weight shuffle;feature ablation;threshold sweeps,Can be dominated by feature scaling or shell definition,BMC01;BMC07;BMC09;BMC10;BMC11;BMC12,Component diagnostic only; not a bridge claim by itself,Often underlies arrangement_signal.
weighted_clustering,graph_metric,local_weighted_clustering_behavior,edge weights;graph density;construction family,density matched controls;null graph comparison,Can shift with edge count rather than structure,uncertain,Not enough extraction in this inventory to bind to a specific result row,Included because marker appears in requested mapping set.
lambda2_abs,spectral_marker,spectral_connectivity_proxy,graph construction;edge weight normalization;component structure,connectedness transition;density controls;null graph controls,Disconnected or near-disconnected graphs can dominate interpretation,uncertain,Proxy only; not a continuum or dynamics claim,Included as requested marker pending exact artifact extraction.
chi_alpha,statistical_marker,alpha_level_or_distributional_test_marker,null family;sample size;multiple comparisons,explicit null-family inventory;replicate count;effect-size reporting,Can be mistaken for universal significance without family boundary,uncertain,Not enough extraction in this inventory to bind to a specific result row,Use only with stated null family and replicate design.
rho_pos,correlation_marker,positive_rank_or_association_component,feature covariance;rank structure;family effects,covariance nulls;copula nulls;family-preserving controls,Can reflect preserved marginal/rank structure rather than bridge property,BMC14d;BMC14e;BMC15h,Correlation component only; no causal interpretation,Relevant to covariance/copula objection mapping.
rho_neg,correlation_marker,negative_rank_or_association_component,feature covariance;rank structure;family effects,covariance nulls;copula nulls;family-preserving controls,Can reflect preserved marginal/rank structure rather than bridge property,BMC14d;BMC14e;BMC15h,Correlation component only; no causal interpretation,Relevant to covariance/copula objection mapping.
