artifact_role,path,exists,file_type,row_count,column_count,key_columns,source_native_candidate,notes,claim_boundary
source_manifest,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,true,json,,,,no,manifest/provenance context,source_signal_gate_no_physics_claim
lineage_file,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/02_upstream_inventory_and_hashes.csv,true,csv,11,10,artifact_id;upstream_block;path;exists;sha256;access_mode;used_for;post_run_sha256,no,lineage/provenance context,source_signal_gate_no_physics_claim
unknown_relevant_artifact,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/07_source_selection_result.csv,true,csv,1,15,source_mode;preferred_source;fallback_source;source_rows;ordered_non_diagonal_pairs;x_points;wrapped_delta_phi_present;raw_delta_phi_audit_present,unclear,relevant by filename search terms; source-native status unresolved,source_signal_gate_no_physics_claim
k_candidate_matrix,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/11_K_candidate_matrix.csv,true,csv,1764,4,row_pair_id;column_pair_id;K_candidate;lineage_bundle_sha256,unclear,candidate matrix upstream of edge table; source-native status unresolved,source_signal_gate_no_physics_claim
distance_cost_matrix,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/13_distance_cost_matrix.csv,true,csv,1764,4,row_pair_id;column_pair_id;d_cost_candidate;lineage_bundle_sha256,unclear,pre-candidate distance/cost matrix; needs upstream rule trace before source-native claim,source_signal_gate_no_physics_claim
shortest_path_matrix,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/14_shortest_path_D_matrix.csv,true,csv,1764,4,row_pair_id;column_pair_id;D_shortest_path_candidate;lineage_bundle_sha256,unclear,pre-candidate shortest-path matrix; needs upstream rule trace before source-native claim,source_signal_gate_no_physics_claim
pre_candidate_relation_strength_matrix,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,true,csv,1764,4,row_pair_id;column_pair_id;relation_strength;lineage_bundle_sha256,unclear,"pre-candidate strength matrix; provenance appears pipeline-native, not independently source-native",source_signal_gate_no_physics_claim
primary_edge_candidate_file,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,true,csv,861,8,pair_a;pair_b;strength;theta_edge;edge_candidate_flag;diagonal;claim_boundary;lineage_bundle_sha256,no,primary candidate artifact; contains rule/threshold outputs,source_signal_gate_no_physics_claim
unknown_relevant_artifact,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/18_cluster_dendrogram_candidate_result.csv,true,csv,41,13,merge_index;cluster_candidate_id;left_node;right_node;distance;member_count;members;split_composition,unclear,relevant by filename search terms; source-native status unresolved,source_signal_gate_no_physics_claim
unknown_relevant_artifact,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/19_motif_candidate_summary.csv,true,csv,41,8,motif_candidate_id;source_cluster_candidate_id;member_count;members;id_contract;stability_status;interpretation;lineage_bundle_sha256,unclear,relevant by filename search terms; source-native status unresolved,source_signal_gate_no_physics_claim
lineage_file,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,true,csv,39,8,audit_scope;artifact;path;sha256;hash_role;status;notes;lineage_bundle_sha256,no,lineage/provenance context,source_signal_gate_no_physics_claim
unknown_relevant_artifact,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/29_claim_boundary_matrix.csv,true,csv,4,5,statement_id;classification;statement;allowed_in_result_interpretation;lineage_bundle_sha256,unclear,relevant by filename search terms; source-native status unresolved,source_signal_gate_no_physics_claim
detector_generalization_context,runs/QSB-MATRIX-TOPOLOGY-DETECTOR-GENERALIZATION/04_detector_generalization_summary.json,true,json,,,,no,methodology context,source_signal_gate_no_physics_claim
origin_audit_context,runs/QSB-MATRIX-TOPOLOGY-DETECTOR-GENERALIZATION/07_pattern_origin_classification_schema.csv,true,csv,10,6,classification_id;definition;required_evidence;allowed_claim;forbidden_claim;next_gate,no,origin-audit context,source_signal_gate_no_physics_claim
unknown_relevant_artifact,runs/QSB-MATRIX-TOPOLOGY-DETECTOR-GENERALIZATION/13_next_problem_selection_gate.md,true,md,,,,unclear,relevant by filename search terms; source-native status unresolved,source_signal_gate_no_physics_claim
origin_audit_context,runs/QSB-MATRIX-TOPOLOGY-STRUCTURE-ORIGIN-AUDIT/04_structure_origin_summary.json,true,json,,,,no,origin-audit context,source_signal_gate_no_physics_claim
negative_control_recommendations,runs/QSB-MATRIX-TOPOLOGY-STRUCTURE-ORIGIN-AUDIT/12_negative_control_recommendations.md,true,md,,,,no,control recommendation context,source_signal_gate_no_physics_claim
