phase,row_index,literature_id,dictreader_overflow_fields,notes_is_none,source_url,source_url_source_type_like,source_type,source_type_valid,source_class,source_class_valid,author_cluster,author_cluster_valid,theory_cluster,theory_cluster_valid,verification_status,verification_status_valid,discovery_channel,discovery_channel_valid
before,1,L1,0,true,primary_literature,true,GREEN,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,2,L2,0,true,primary_literature,true,GREEN,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,3,L3,0,true,primary_literature,true,GREEN,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,4,L4,0,true,handbook_chapter,true,GREEN,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN,false,deep_research_report,false,Classified as review/handbook chapter from task prompt.,false
before,5,L5,0,true,primary_literature,true,GREEN,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,6,L6,0,true,primary_literature,true,GREEN,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,7,L7,0,true,primary_literature,true,GREEN-YELLOW,false,LQG_quantum_geometry,false,loop_quantum_geometry,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,8,W1,0,true,primary_literature,true,GREEN,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,9,W2,0,true,primary_literature,true,GREEN,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,10,W3,0,true,primary_literature,true,GREEN,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,11,W4,0,true,review,true,GREEN,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,12,W5,0,true,review,true,GREEN,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,13,W6,0,true,primary_literature,true,GREEN-YELLOW,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,14,W7,0,true,primary_literature,true,YELLOW,false,Wadia_holography_string_black_holes,false,holography_string_qg,false,YELLOW,false,deep_research_report,false,Includes red-team pathology warning tag from task prompt.,false
before,15,F1,0,true,primary_literature,true,GREEN,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,16,F2,0,true,primary_literature,true,GREEN,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,17,F3,0,true,primary_literature,true,GREEN-YELLOW,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,18,F4,0,true,primary_literature,true,YELLOW,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,YELLOW,false,deep_research_report,false,Title retained from task prompt; no mechanism claim inferred.,false
before,19,F5,0,true,primary_literature,true,GREEN-YELLOW,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,20,F6,0,true,primary_literature,true,GREEN-YELLOW,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,21,F7,0,true,primary_literature,true,GREEN-YELLOW,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,22,F8,0,true,primary_literature,true,GREEN,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
before,23,F9,0,true,review,true,GREEN-YELLOW,false,FLM_Born_metastring_modular_spacetime,false,born_geometry_phase_space,false,GREEN-YELLOW,false,deep_research_report,false,DOI/arXiv/source URL not provided in task prompt; keep empty pending verification.,false
