field,value
artifacts_registered,17
causality_artifacts_loaded,0
checksums_computed,9324
claim_boundary,"[""postgres_legacy_migration"", ""central_dwh_single_db_policy"", ""metadata_server_readiness"", ""generic_artifact_registration"", ""domain_staging_load"", ""canonical_load"", ""metadata_registration"", ""validation_registration"", ""dwh_search_enablement"", ""methodological_preparation_only"", ""no_qsb_detection_claim"", ""no_dark_matter_claim"", ""no_mond_claim"", ""no_lambdacdm_refutation_claim"", ""no_gravity_claim"", ""no_spacetime_claim"", ""no_causality_claim""]"
dbeaver_target,PostgreSQL localhost:5432/qsb_research_dwh
generic_csv_rows_loaded,0
global_search_rows,29
interface01_artifacts_loaded,0
json_documents_loaded,0
markdown_documents_loaded,0
matrix_topology_artifacts_loaded,0
metadata_alias_count,29
metadata_claim_count,16
metadata_field_count,29
metadata_lineage_count,21
metadata_server_files_created,True
metadata_server_readiness_status,ready_for_read_only_psql_cli_server
metadata_unit_count,7
metadata_validation_count,12
notes,Generic legacy artifact registration and read-only metadata server readiness completed. Domain-specific loads are defensive artifact/summary-level unless stable columns were already available.
postgres_connection_ok,True
procedures_created_or_verified,6
qsb_observable_evaluated,False
rbci_v1_evaluated,False
recommended_next_run_id,QSB-DWH-POSTGRES-LEGACY-MIGRATION-REVIEW-01
relalg_artifacts_loaded,0
residual_analysis_executed,False
run_folders_inventoried,278
run_id,QSB-DWH-POSTGRES-LEGACY-MIGRATION-METADATA-SERVER-01
schemas_created_or_verified,8
single_db_policy_enabled,True
sparc_rar_rows_loaded,12170
sqlite_catalogs_discovered,97
sqlite_catalogs_imported,0
sqlite_role,audit_snapshot_only
status,qsb_dwh_postgres_legacy_migration_metadata_server_completed
tables_created_or_verified,67
target_database,qsb_research_dwh
total_files_inventoried,9324
views_created_or_verified,24
