table_name,field_name,canonical_name,de_label,en_label,description_de,description_en,data_type,allowed_values,lineage_note,claim_boundary_note
qsb_literature_source,literature_id,literature_id,Literatur-ID,Literature ID,"Primärschlüssel für Literaturmetadaten.","Primary key for literature metadata.",TEXT,"","Register after DB target is selected.","No internal evidence."
qsb_literature_source,source_key,source_key,Quellschlüssel,Source key,"Prompt-naher Quellschlüssel.","Prompt-near source key.",TEXT,"","Register after DB target is selected.","No internal evidence."
qsb_literature_source,title,title,Titel,Title,"Titel.","Title.",TEXT,"","Register after DB target is selected.","No internal evidence."
qsb_literature_source,authors,authors,Autoren,Authors,"Autoren.","Authors.",TEXT,"","Register after DB target is selected.","No internal evidence."
qsb_literature_source,year,year,Jahr,Year,"Jahr.","Year.",INTEGER,"","Register after DB target is selected.","No internal evidence."
qsb_literature_source,source_type,source_type,Quellentyp,Source type,"Quellentyp.","Source type.",TEXT,"primary_literature;review;handbook_chapter;lecture_notes;speculative_program;secondary_commentary","Register after DB target is selected.","No internal evidence."
qsb_literature_source,source_class,source_class,Quellenklasse,Source class,"Quellenklasse.","Source class.",TEXT,"GREEN;GREEN-YELLOW;YELLOW;RED-YELLOW;RED","Register after DB target is selected.","No internal evidence."
qsb_literature_source,author_cluster,author_cluster,Autorencluster,Author cluster,"Autorencluster.","Author cluster.",TEXT,"LQG_quantum_geometry;Wadia_holography_string_black_holes;FLM_Born_metastring_modular_spacetime","Register after DB target is selected.","No internal evidence."
qsb_literature_source,theory_cluster,theory_cluster,Theoriecluster,Theory cluster,"Theoriecluster.","Theory cluster.",TEXT,"loop_quantum_geometry;holography_string_qg;born_geometry_phase_space","Register after DB target is selected.","No internal evidence."
qsb_literature_mechanism_tag,mechanism_tag,mechanism_tag,Mechanismus-Tag,Mechanism tag,"Tag für Kontext und Suchraum.","Tag for context and search space.",TEXT,"","Register after DB target is selected.","No mechanism claim."
qsb_literature_qsb_mapping,qsb_structure_tag,qsb_structure_tag,QSB-Struktur-Tag,QSB structure tag,"Orientierungs-Tag für spätere Cube-Analyse.","Orientation tag for later cube analysis.",TEXT,"","Register after DB target is selected.","No mechanism claim."
qsb_literature_claim_boundary,internal_evidence_flag,internal_evidence_flag,Interne-Evidenz-Flag,Internal evidence flag,"Immer 0.","Always 0.",INTEGER,"0","Register after DB target is selected.","Not internal evidence."
qsb_literature_claim_boundary,mechanism_claim_support,mechanism_claim_support,Mechanismusclaim-Unterstützung,Mechanism claim support,"Immer 0.","Always 0.",INTEGER,"0","Register after DB target is selected.","No mechanism support."
qsb_literature_claim_boundary,physical_claim_support,physical_claim_support,Physikclaim-Unterstützung,Physical claim support,"Immer 0.","Always 0.",INTEGER,"0","Register after DB target is selected.","No physical support."
qsb_literature_claim_boundary,allowed_use,allowed_use,Erlaubte Nutzung,Allowed use,"Erlaubte Nutzung.","Allowed use.",TEXT,"context;vocabulary;comparison_structure;red_team_question;mechanism_search_orientation","Register after DB target is selected.","Context only."
qsb_literature_claim_boundary,forbidden_use,forbidden_use,Verbotene Nutzung,Forbidden use,"Verbotene Nutzung.","Forbidden use.",TEXT,"evidence;result;mechanism_confirmation;physics_claim","Register after DB target is selected.","No evidence/result use."
qsb_literature_claim_boundary,claim_boundary,claim_boundary,Claim-Grenze,Claim boundary,"Claim-Grenze.","Claim boundary.",TEXT,"literature_context_only_no_internal_evidence_no_mechanism_claim","Register after DB target is selected.","Required boundary."
