bridge_property_group,source_block_id,source_path,artifact_type,evidence_role,bound_marker,bound_source_field,bound_status_or_value,supports_pattern,limits_pattern,claim_boundary,open_extraction_gap,next_action,notes
"feature_backbone_sensitivity","BMC08c","data/bmc08c_real_units_feature_table.csv","feature_table","control","not_extracted","01A fixed_variable","BMC09d-compatible sign-sensitive source","Binds feature-source baseline for later BMC12 interpretation.","Does not bind a marker value or decision row.","Input inventory only; no bridge claim.","Feature table columns are not re-extracted in 01C.","If needed, bind BMC08c feature columns in a later source-column table.","Used only as source-basis control."
"feature_backbone_sensitivity","BMC12_ABC","docs/BMC12_ABC_FEATURE_DOMINANCE_RESULT_NOTE.md","result_note","support","backbone_localization","01A primary_marker; secondary_markers; status_label","primary_marker=backbone_localization; secondary=arrangement_signal;dominant_arm;decision_label; status=consolidated","Supports the 01B readout that feature ablation and backbone-localization are linked in the curated inventory.","Per-variant rows are not bound here.","Supports feature-dominance diagnostic only; no physical emergence claim.","Only result-note-level binding, not all underlying BMC12 table columns.","Extract per-case BMC12 rows without running new numerics.","Central feature/backbone synthesis source."
"feature_backbone_sensitivity","BMC12b","runs/BMC-12b/matched_leaveoneout_open/bmc12b_matched_leaveoneout_summary.csv","summary_csv","control","edge_set_agreement","01A primary_marker; secondary_markers; status_label","primary_marker=edge_set_agreement; secondary=node_set_agreement;weight_differences; status=exact_baseline_reconciliation","Binds graph-size and baseline reconciliation control for BMC12c-style interpretation.","Does not by itself establish backbone sensitivity.","Matched edge-count control only; no bridge synthesis claim.","Only marker names and status are bound; row-level values remain unextracted.","Bind exact columns for node_set_agreement, edge_set_agreement, and weight_differences later.","Control row for avoiding fixed-threshold densification overread."
"feature_backbone_sensitivity","BMC12f","runs/BMC-12f/decision_threshold_gap_sweep_open/bmc12f_threshold_gap_decision_summary.csv","summary_csv","limitation","weighted_shell_gap","01A secondary_markers; status_label; 01B known_failure_modes","secondary=off_backbone_localization;weighted_shell_gap; status=not_extracted","Supports the need to treat decision thresholds as part of the pattern.","Limits any simple backbone-only readout because threshold outcomes are not extracted here.","Decision-threshold sweep only; no new synthesis conclusion.","Threshold-grid outcomes are not yet bound to individual rows.","Extract threshold-gap decision rows into a later evidence table.","Boundary row for threshold dependence."
"null_family_specificity_boundary","BMC14","docs/BMC14_NULL_MODEL_FEATURE_CONTROL_RESULT_NOTE.md","result_note","control","core_edge_containment","01A primary_marker; secondary_markers; claim_boundary","primary_marker=core_edge_containment; secondary=core_node_containment;shared_edges; boundary=graph-method diagnostic object only","Binds the initial feature-randomized null-control axis for core specificity.","Does not address all structured null objections.","Graph-method diagnostic object only; not a physical spacetime object.","Null model row values and replicate details are not re-bound in 01C.","Normalize BMC14 null-family names and preserved/broken variables later.","Feature-randomized null-control source."
"null_family_specificity_boundary","BMC14d","docs/BMC14D_COVARIANCE_STRUCTURED_NULL_CONTROLS_RESULT_NOTE.md","result_note","boundary","rho_pos","01A test_family; primary_marker; notes; 01A marker_axis_map rho_pos/rho_neg","test_family=covariance_structured_nulls; primary_marker=core_edge_containment; notes=test covariance and weight-rank controls","Binds covariance and rank-structure objections to the null-family boundary group.","Correlation markers are only conceptually mapped, not source-column bound.","Graph-method diagnostic object only; not a physical spacetime object.","rho_pos/rho_neg are not extracted as concrete BMC14d columns in 01A.","Perform narrow source-column binding for correlation markers if present.","Boundary row for covariance-style controls."
"null_family_specificity_boundary","BMC14e","docs/BMC14E_DEGREE_COPULA_STRUCTURED_NULLS_RESULT_NOTE.md","result_note","boundary","rho_neg","01A test_family; primary_marker; notes; 01A marker_axis_map rho_pos/rho_neg","test_family=degree_copula_structured_nulls; primary_marker=core_edge_containment; notes=degree-preserving and Gaussian-copula null objections","Binds degree and copula structured controls into the specificity-boundary pattern.","Does not exclude all possible null families.","Graph-method diagnostic object only; not a physical spacetime object.","rho_pos/rho_neg are mapped as correlation components but not row-bound here.","Bind any copula/rank-correlation source fields in a later pass.","Boundary row for degree/copula controls."
"null_family_specificity_boundary","BMC15h","docs/BMC15H_STRUCTURED_SPECIFICITY_INITIAL_RESULT_NOTE.md","result_note","limitation","envelope_core_containment","01A primary_marker; secondary_markers; status_label; claim_boundary","primary_marker=envelope_core_containment; secondary=core_node_containment;core_edge_containment; status=partial_structured_null_readout","Supports the structured-null comparison axis and shows why specificity remains family-bounded.","Limits claims because the readout is partial and explicitly not proof of specificity.","Explicitly does not claim spacetime emergence or proof of specificity.","Individual interpretation labels are not bound in this 01C row.","Extract BMC15h metric_name, null_family, construction_variant, and interpretation_label later.","Key family-dependent limitation row."
"geometry_proxy_readability","BMC15","docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md","result_note","support","geometry_proxy_score","01A primary_marker; secondary_markers; claim_boundary","primary_marker=geometry_proxy_score; secondary=geodesic_consistency;local_dimension_proxy;triangle_defect","Binds the main geometry-proxy diagnostic vocabulary used by 01B.","Does not bind component values or prove geometry.","Geometry-proxy behavior only; no physical geometry recovery claim.","Component metrics are marker-bound but not value-bound.","Bind geodesic, local-dimension, and triangle columns from inventoried summaries later.","Primary proxy-readability source."
"geometry_proxy_readability","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_geodesic_consistency_summary.csv","summary_csv","support","geodesic_consistency","01A secondary_markers; bridge_property","secondary=mean_path_direct_ratio;unreachable_pair_fraction; bridge_property=geodesic_proxy_behavior","Binds one concrete summary artifact for geodesic proxy behavior.","Only geodesic behavior is bound; other proxy components remain separate.","Summary table only; not direct geometry evidence.","No row-level graph_id values are extracted in 01C.","Bind graph_id and geodesic columns in a later evidence-row extraction.","Concrete summary path for geometry proxy readability."
