record_id,title,bubble_name,relevance_level,claim_safety_note
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,From General Relativity to Quantum Gravity,Asymptotic Safety / Scale Flow,strong,Brainstorming context only; no physical QSB/PBR claim released.
hossenfelder2013_minimal_length_scenarios,Minimal Length Scale Scenarios for Quantum Gravity,Asymptotic Safety / Scale Flow,strong,Brainstorming context only; no physical QSB/PBR claim released.
birrell_davies1982_quantum_fields_curved_space,Quantum Fields in Curved Space,Black-Hole / Horizon Thermodynamics,strong,Brainstorming context only; no physical QSB/PBR claim released.
hollands_wald2015_qft_curved_spacetime,Quantum Fields in Curved Spacetime,Black-Hole / Horizon Thermodynamics,strong,Brainstorming context only; no physical QSB/PBR claim released.
jacobson1995_thermodynamics_spacetime,Thermodynamics of Spacetime: The Einstein Equation of State,Black-Hole / Horizon Thermodynamics,strong,Brainstorming context only; no physical QSB/PBR claim released.
ryu_takayanagi2006_holographic_entanglement_entropy,Holographic Derivation of Entanglement Entropy from {AdS/CFT},Black-Hole / Horizon Thermodynamics,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega1993_strings_curved_spacetimes,Strings in Curved Spacetimes,Dualität / Holographie / Reparametrisierungs-Invarianz,medium,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1987_string_quantization_curved,A New Approach to String Quantization in Curved Spacetimes,Dualität / Holographie / Reparametrisierungs-Invarianz,medium,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1995_lectures_string_curved_spacetimes,Lectures on String Theory in Curved Spacetimes,Dualität / Holographie / Reparametrisierungs-Invarianz,medium,Brainstorming context only; no physical QSB/PBR claim released.
ryu_takayanagi2006_holographic_entanglement_entropy,Holographic Derivation of Entanglement Entropy from {AdS/CFT},Dualität / Holographie / Reparametrisierungs-Invarianz,strong,Brainstorming context only; no physical QSB/PBR claim released.
swingle2012_holographic_spacetimes_entanglement_renormalization,Constructing Holographic Spacetimes Using Entanglement Renormalization,Dualität / Holographie / Reparametrisierungs-Invarianz,strong,Brainstorming context only; no physical QSB/PBR claim released.
vanraamsdonk2010_spacetime_entanglement,Building Up Spacetime with Quantum Entanglement,Dualität / Holographie / Reparametrisierungs-Invarianz,strong,Brainstorming context only; no physical QSB/PBR claim released.
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,From General Relativity to Quantum Gravity,Emergence Programs / Spacetime-from-Collective-Variables,medium,Brainstorming context only; no physical QSB/PBR claim released.
bombelli_lee_meyer_sorkin1987_causal_set,Space-Time as a Causal Set,Emergence Programs / Spacetime-from-Collective-Variables,strong,Brainstorming context only; no physical QSB/PBR claim released.
jacobson1995_thermodynamics_spacetime,Thermodynamics of Spacetime: The Einstein Equation of State,Emergence Programs / Spacetime-from-Collective-Variables,strong,Brainstorming context only; no physical QSB/PBR claim released.
rovelli_smolin1995_spin_networks_quantum_gravity,Spin Networks and Quantum Gravity,Emergence Programs / Spacetime-from-Collective-Variables,strong,Brainstorming context only; no physical QSB/PBR claim released.
ryu_takayanagi2006_holographic_entanglement_entropy,Holographic Derivation of Entanglement Entropy from {AdS/CFT},Emergence Programs / Spacetime-from-Collective-Variables,strong,Brainstorming context only; no physical QSB/PBR claim released.
swingle2012_holographic_spacetimes_entanglement_renormalization,Constructing Holographic Spacetimes Using Entanglement Renormalization,Emergence Programs / Spacetime-from-Collective-Variables,strong,Brainstorming context only; no physical QSB/PBR claim released.
vanraamsdonk2010_spacetime_entanglement,Building Up Spacetime with Quantum Entanglement,Emergence Programs / Spacetime-from-Collective-Variables,strong,Brainstorming context only; no physical QSB/PBR claim released.
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,From General Relativity to Quantum Gravity,Loop Quantum Geometry / Geometriequanten,strong,Brainstorming context only; no physical QSB/PBR claim released.
rovelli_smolin1995_spin_networks_quantum_gravity,Spin Networks and Quantum Gravity,Loop Quantum Geometry / Geometriequanten,strong,Brainstorming context only; no physical QSB/PBR claim released.
rovelli_smolin1995_spin_networks_quantum_gravity,Spin Networks and Quantum Gravity,Matrix / Large-N / Operatorstruktur,medium,Brainstorming context only; no physical QSB/PBR claim released.
swingle2012_holographic_spacetimes_entanglement_renormalization,Constructing Holographic Spacetimes Using Entanglement Renormalization,Matrix / Large-N / Operatorstruktur,medium,Brainstorming context only; no physical QSB/PBR claim released.
bombelli_lee_meyer_sorkin1987_causal_set,Space-Time as a Causal Set,Nicht-Kommutativität / Reihenfolge der Operationen,medium,Brainstorming context only; no physical QSB/PBR claim released.
birrell_davies1982_quantum_fields_curved_space,Quantum Fields in Curved Space,QFT in Curved Spacetime / Semiclassical Boundary,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega1993_strings_curved_spacetimes,Strings in Curved Spacetimes,QFT in Curved Spacetime / Semiclassical Boundary,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1987_string_quantization_curved,A New Approach to String Quantization in Curved Spacetimes,QFT in Curved Spacetime / Semiclassical Boundary,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1995_lectures_string_curved_spacetimes,Lectures on String Theory in Curved Spacetimes,QFT in Curved Spacetime / Semiclassical Boundary,strong,Brainstorming context only; no physical QSB/PBR claim released.
hollands_wald2015_qft_curved_spacetime,Quantum Fields in Curved Spacetime,QFT in Curved Spacetime / Semiclassical Boundary,strong,Brainstorming context only; no physical QSB/PBR claim released.
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,From General Relativity to Quantum Gravity,Raumzeit-Unschärfe / Skalenkopplung,medium,Brainstorming context only; no physical QSB/PBR claim released.
garay1995_quantum_gravity_minimum_length,Quantum Gravity and Minimum Length,Raumzeit-Unschärfe / Skalenkopplung,strong,Brainstorming context only; no physical QSB/PBR claim released.
hossenfelder2013_minimal_length_scenarios,Minimal Length Scale Scenarios for Quantum Gravity,Raumzeit-Unschärfe / Skalenkopplung,strong,Brainstorming context only; no physical QSB/PBR claim released.
mead1964_fundamental_length,Possible Connection Between Gravitation and Fundamental Length,Raumzeit-Unschärfe / Skalenkopplung,strong,Brainstorming context only; no physical QSB/PBR claim released.
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,From General Relativity to Quantum Gravity,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
birrell_davies1982_quantum_fields_curved_space,Quantum Fields in Curved Space,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
devega1993_strings_curved_spacetimes,Strings in Curved Spacetimes,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1987_string_quantization_curved,A New Approach to String Quantization in Curved Spacetimes,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1995_lectures_string_curved_spacetimes,Lectures on String Theory in Curved Spacetimes,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
hollands_wald2015_qft_curved_spacetime,Quantum Fields in Curved Spacetime,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
rovelli_smolin1995_spin_networks_quantum_gravity,Spin Networks and Quantum Gravity,Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
ryu_takayanagi2006_holographic_entanglement_entropy,Holographic Derivation of Entanglement Entropy from {AdS/CFT},Schild Action / Flächenquantum / Worldsheet,medium,Brainstorming context only; no physical QSB/PBR claim released.
birrell_davies1982_quantum_fields_curved_space,Quantum Fields in Curved Space,Spektrum / Resonator / Eigenstruktur,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega1993_strings_curved_spacetimes,Strings in Curved Spacetimes,Spektrum / Resonator / Eigenstruktur,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1987_string_quantization_curved,A New Approach to String Quantization in Curved Spacetimes,Spektrum / Resonator / Eigenstruktur,strong,Brainstorming context only; no physical QSB/PBR claim released.
devega_sanchez1995_lectures_string_curved_spacetimes,Lectures on String Theory in Curved Spacetimes,Spektrum / Resonator / Eigenstruktur,strong,Brainstorming context only; no physical QSB/PBR claim released.
hollands_wald2015_qft_curved_spacetime,Quantum Fields in Curved Spacetime,Spektrum / Resonator / Eigenstruktur,medium,Brainstorming context only; no physical QSB/PBR claim released.
